latitude,longitude,country
47.7905,15.0073,Austria
47.7905,15.0513,Austria
47.7905,15.0952,Austria
47.7466,14.436,Austria
47.7466,14.48,Austria
47.7466,14.5239,Austria
47.7466,14.5679,Austria
47.7466,14.7437,Austria
47.7466,14.7876,Austria
47.7466,14.8315,Austria
47.7466,14.8755,Austria
47.7466,14.9194,Austria
47.7466,14.9634,Austria
47.7466,15.0073,Austria
47.7466,15.0513,Austria
47.7466,15.0952,Austria
47.7466,15.1392,Austria
47.7026,13.8647,Austria
47.7026,13.9087,Austria
47.7026,13.9526,Austria
47.7026,13.9966,Austria
47.7026,14.0405,Austria
47.7026,14.0845,Austria
47.7026,14.48,Austria
47.7026,14.5239,Austria
47.7026,14.5679,Austria
47.7026,14.7437,Austria
47.7026,14.7876,Austria
47.7026,14.8315,Austria
47.7026,14.8755,Austria
47.7026,14.9194,Austria
47.7026,14.9634,Austria
47.7026,15.0073,Austria
47.7026,15.0513,Austria
47.7026,15.0952,Austria
47.7026,15.1392,Austria
47.7026,15.1831,Austria
47.6587,13.8647,Austria
47.6587,13.9087,Austria
47.6587,13.9526,Austria
47.6587,13.9966,Austria
47.6587,14.0405,Austria
47.6587,14.0845,Austria
47.6587,14.436,Austria
47.6587,14.48,Austria
47.6587,14.5239,Austria
47.6587,14.5679,Austria
47.6587,14.6118,Austria
47.6587,14.6558,Austria
47.6587,14.6997,Austria
47.6587,14.7876,Austria
47.6587,14.8315,Austria
47.6587,14.8755,Austria
47.6587,14.9194,Austria
47.6587,14.9634,Austria
47.6587,15.0073,Austria
47.6587,15.0513,Austria
47.6587,15.0952,Austria
47.6587,15.1392,Austria
47.6147,13.9087,Austria
47.6147,13.9526,Austria
47.6147,13.9966,Austria
47.6147,14.0405,Austria
47.6147,14.48,Austria
47.6147,14.5239,Austria
47.6147,14.5679,Austria
47.6147,14.6118,Austria
47.6147,14.6558,Austria
47.6147,14.6997,Austria
47.6147,14.7437,Austria
47.6147,14.7876,Austria
47.6147,14.8315,Austria
47.6147,14.8755,Austria
47.6147,14.9194,Austria
47.6147,14.9634,Austria
47.6147,15.0073,Austria
47.6147,15.0513,Austria
47.5708,14.5239,Austria
47.5708,14.5679,Austria
47.5708,14.6118,Austria
47.5708,14.6558,Austria
47.5708,14.6997,Austria
47.5708,14.7437,Austria
47.5708,14.7876,Austria
47.5269,13.5571,Austria
47.5269,13.6011,Austria
47.5269,13.7329,Austria
47.5269,13.7769,Austria
47.5269,13.8208,Austria
47.5269,13.8647,Austria
47.5269,14.5679,Austria
47.5269,14.6118,Austria
47.5269,14.6558,Austria
47.5269,14.6997,Austria
47.5269,14.7437,Austria
47.5269,14.7876,Austria
47.4829,13.5132,Austria
47.4829,13.5571,Austria
47.4829,13.6011,Austria
47.4829,13.7329,Austria
47.4829,13.7769,Austria
47.4829,13.8208,Austria
47.4829,13.8647,Austria
47.4829,14.6558,Austria
47.4829,14.6997,Austria
47.4829,14.7437,Austria
47.439,13.9966,Austria
47.439,14.0405,Austria
47.439,14.0845,Austria
47.439,14.1284,Austria
47.439,14.1724,Austria
47.439,14.2163,Austria
47.439,14.2603,Austria
47.439,14.3042,Austria
47.439,14.3481,Austria
47.439,14.3921,Austria
47.439,14.436,Austria
47.439,14.5239,Austria
47.439,14.5679,Austria
47.439,14.6118,Austria
47.395,13.9087,Austria
47.395,13.9526,Austria
47.395,13.9966,Austria
47.395,14.0405,Austria
47.395,14.0845,Austria
47.395,14.1284,Austria
47.395,14.1724,Austria
47.395,14.2163,Austria
47.395,14.2603,Austria
47.395,14.3042,Austria
47.395,14.3481,Austria
47.395,14.3921,Austria
47.395,14.436,Austria
47.395,14.48,Austria
47.395,14.5239,Austria
47.395,14.5679,Austria
47.395,14.6118,Austria
47.395,14.6558,Austria
47.3511,13.7769,Austria
47.3511,13.8208,Austria
47.3511,13.8647,Austria
47.3511,13.9087,Austria
47.3511,13.9526,Austria
47.3511,13.9966,Austria
47.3511,14.0405,Austria
47.3511,14.0845,Austria
47.3511,14.1284,Austria
47.3511,14.1724,Austria
47.3511,14.2163,Austria
47.3511,14.2603,Austria
47.3511,14.3042,Austria
47.3511,14.3481,Austria
47.3511,14.3921,Austria
47.3511,14.436,Austria
47.3511,14.48,Austria
47.3511,14.5239,Austria
47.3511,14.5679,Austria
47.3511,14.6118,Austria
47.3071,13.6011,Austria
47.3071,13.645,Austria
47.3071,13.689,Austria
47.3071,13.7329,Austria
47.3071,13.7769,Austria
47.3071,13.8208,Austria
47.3071,13.8647,Austria
47.3071,13.9087,Austria
47.3071,13.9526,Austria
47.3071,13.9966,Austria
47.3071,14.0405,Austria
47.3071,14.0845,Austria
47.3071,14.1284,Austria
47.3071,14.1724,Austria
47.3071,14.2163,Austria
47.3071,14.2603,Austria
47.3071,14.3042,Austria
47.3071,14.3481,Austria
47.3071,14.3921,Austria
47.3071,14.436,Austria
47.3071,14.48,Austria
47.2632,13.645,Austria
47.2632,13.689,Austria
47.2632,13.7329,Austria
47.2632,13.7769,Austria
47.2632,13.8208,Austria
47.2632,13.8647,Austria
47.2632,13.9087,Austria
47.2632,13.9526,Austria
47.2632,13.9966,Austria
47.2632,14.0405,Austria
47.2632,14.0845,Austria
47.2632,14.1284,Austria
47.2632,14.1724,Austria
47.2632,14.2163,Austria
47.2632,14.2603,Austria
47.2632,14.3042,Austria
47.2632,14.3481,Austria
47.2632,14.3921,Austria
47.2632,14.436,Austria
47.2192,13.2935,Austria
47.2192,13.3374,Austria
47.2192,13.3813,Austria
47.2192,13.4253,Austria
47.2192,13.4692,Austria
47.2192,13.6011,Austria
47.2192,13.645,Austria
47.2192,13.689,Austria
47.2192,13.7329,Austria
47.2192,13.7769,Austria
47.2192,13.8208,Austria
47.2192,13.8647,Austria
47.2192,13.9087,Austria
47.2192,13.9526,Austria
47.2192,13.9966,Austria
47.2192,14.0405,Austria
47.2192,14.0845,Austria
47.2192,14.1284,Austria
47.2192,14.1724,Austria
47.2192,14.2163,Austria
47.2192,14.2603,Austria
47.2192,14.3042,Austria
47.2192,14.3481,Austria
47.1753,12.2827,Austria
47.1753,12.3267,Austria
47.1753,12.3706,Austria
47.1753,12.4146,Austria
47.1753,12.4585,Austria
47.1753,12.5024,Austria
47.1753,12.5464,Austria
47.1753,12.7661,Austria
47.1753,12.8101,Austria
47.1753,12.854,Austria
47.1753,12.8979,Austria
47.1753,12.9419,Austria
