latitude,longitude,country
43.9673,27.5317,Bulgaria
43.9673,27.5757,Bulgaria
43.9673,27.6196,Bulgaria
43.9673,27.7954,Bulgaria
43.9673,27.8833,Bulgaria
43.9233,27.3999,Bulgaria
43.9233,27.4438,Bulgaria
43.9233,27.5757,Bulgaria
43.9233,27.6636,Bulgaria
43.9233,27.7515,Bulgaria
43.9233,27.7954,Bulgaria
43.9233,27.8833,Bulgaria
43.9233,27.9272,Bulgaria
43.8794,27.312,Bulgaria
43.8794,27.356,Bulgaria
43.8794,27.5317,Bulgaria
43.8794,27.5757,Bulgaria
43.8794,27.6196,Bulgaria
43.8794,27.7075,Bulgaria
43.8794,27.7515,Bulgaria
43.8794,27.7954,Bulgaria
43.8794,27.8394,Bulgaria
43.8794,27.9272,Bulgaria
43.8794,27.9712,Bulgaria
43.8354,27.312,Bulgaria
43.8354,27.356,Bulgaria
43.8354,27.4438,Bulgaria
43.8354,27.5317,Bulgaria
43.8354,27.5757,Bulgaria
43.8354,27.6196,Bulgaria
43.8354,27.6636,Bulgaria
43.8354,27.7075,Bulgaria
43.8354,27.7954,Bulgaria
43.8354,27.9712,Bulgaria
43.8354,28.0151,Bulgaria
43.7915,22.522,Bulgaria
43.7915,22.5659,Bulgaria
43.7915,27.356,Bulgaria
43.7915,27.4878,Bulgaria
43.7915,27.5317,Bulgaria
43.7915,27.5757,Bulgaria
43.7915,27.6196,Bulgaria
43.7915,27.6636,Bulgaria
43.7915,27.7954,Bulgaria
43.7915,27.8833,Bulgaria
43.7915,27.9272,Bulgaria
43.7915,27.9712,Bulgaria
43.7476,22.522,Bulgaria
43.7476,22.5659,Bulgaria
43.7476,27.2681,Bulgaria
43.7476,27.312,Bulgaria
43.7476,27.4878,Bulgaria
43.7476,27.5317,Bulgaria
43.7476,27.6196,Bulgaria
43.7036,22.478,Bulgaria
43.7036,22.522,Bulgaria
43.7036,22.5659,Bulgaria
43.7036,23.5767,Bulgaria
43.7036,24.2798,Bulgaria
43.7036,27.2681,Bulgaria
43.7036,27.312,Bulgaria
43.7036,27.356,Bulgaria
43.7036,27.4438,Bulgaria
43.6597,22.478,Bulgaria
43.6597,22.522,Bulgaria
43.6597,22.5659,Bulgaria
43.6597,22.8735,Bulgaria
43.6597,22.9175,Bulgaria
43.6597,24.2358,Bulgaria
43.6597,24.2798,Bulgaria
43.6597,27.2681,Bulgaria
43.6157,22.478,Bulgaria
43.6157,22.522,Bulgaria
43.6157,22.5659,Bulgaria
43.6157,22.8735,Bulgaria
43.6157,22.9175,Bulgaria
43.6157,22.9614,Bulgaria
43.6157,23.0054,Bulgaria
43.6157,23.0493,Bulgaria
43.6157,27.2681,Bulgaria
43.6157,27.3999,Bulgaria
43.5718,22.522,Bulgaria
43.5718,22.5659,Bulgaria
43.5718,22.6538,Bulgaria
43.5718,22.6978,Bulgaria
43.5718,22.7417,Bulgaria
43.5718,22.7856,Bulgaria
43.5718,22.8735,Bulgaria
43.5718,22.9175,Bulgaria
43.5718,22.9614,Bulgaria
43.5718,27.2681,Bulgaria
43.5718,27.3999,Bulgaria
43.5278,22.5659,Bulgaria
43.5278,22.6099,Bulgaria
43.5278,22.6538,Bulgaria
43.5278,22.6978,Bulgaria
43.5278,22.7417,Bulgaria
43.5278,22.7856,Bulgaria
