latitude,longitude,country
44.8022,14.436,Croatia
44.7583,14.3921,Croatia
44.7583,14.436,Croatia
44.7583,14.9634,Croatia
44.7583,15.0073,Croatia
44.7583,15.0513,Croatia
44.7583,15.0952,Croatia
44.7583,15.1392,Croatia
44.7583,15.5347,Croatia
44.7144,14.436,Croatia
44.7144,14.9634,Croatia
44.7144,15.0073,Croatia
44.7144,15.0513,Croatia
44.7144,15.0952,Croatia
44.7144,15.1392,Croatia
44.7144,15.1831,Croatia
44.6704,14.48,Croatia
44.6704,15.0073,Croatia
44.6704,15.0513,Croatia
44.6704,15.0952,Croatia
44.6704,15.5786,Croatia
44.6704,15.6226,Croatia
44.6704,15.6665,Croatia
44.6704,15.7104,Croatia
44.6704,15.7544,Croatia
44.6704,15.7983,Croatia
44.6704,15.8423,Croatia
44.6704,15.8862,Croatia
44.6265,15.6226,Croatia
44.6265,15.6665,Croatia
44.6265,15.7544,Croatia
44.6265,15.7983,Croatia
44.6265,15.8423,Croatia
44.6265,15.8862,Croatia
44.6265,15.9302,Croatia
44.5825,15.6226,Croatia
44.5825,15.6665,Croatia
44.5825,15.7104,Croatia
44.5825,15.7544,Croatia
44.5825,15.7983,Croatia
44.5825,15.8423,Croatia
44.5825,15.8862,Croatia
44.5825,15.9741,Croatia
44.5386,15.6665,Croatia
44.5386,15.8423,Croatia
44.5386,15.8862,Croatia
44.5386,16.0181,Croatia
44.4946,15.7544,Croatia
44.4946,15.7983,Croatia
44.4946,15.8423,Croatia
44.4946,15.8862,Croatia
44.4946,15.9302,Croatia
44.4946,15.9741,Croatia
44.4946,16.0181,Croatia
44.4946,16.062,Croatia
44.4946,16.106,Croatia
44.4507,15.7544,Croatia
44.4507,15.7983,Croatia
44.4507,15.8423,Croatia
44.4507,15.8862,Croatia
44.4507,15.9302,Croatia
44.4507,15.9741,Croatia
44.4507,16.0181,Croatia
44.4507,16.062,Croatia
44.4507,16.106,Croatia
44.4067,15.7983,Croatia
44.4067,15.8423,Croatia
44.4067,15.8862,Croatia
44.4067,15.9302,Croatia
44.4067,15.9741,Croatia
44.4067,16.0181,Croatia
44.4067,16.062,Croatia
44.4067,16.1499,Croatia
44.3628,15.8862,Croatia
44.3628,15.9302,Croatia
44.3628,15.9741,Croatia
44.3628,16.0181,Croatia
44.3628,16.062,Croatia
44.3628,16.106,Croatia
44.3628,16.1499,Croatia
44.3188,15.9302,Croatia
44.3188,15.9741,Croatia
44.3188,16.0181,Croatia
44.3188,16.062,Croatia
44.3188,16.106,Croatia
44.3188,16.1499,Croatia
44.2749,15.9302,Croatia
44.2749,15.9741,Croatia
44.2749,16.0181,Croatia
44.2749,16.062,Croatia
44.2749,16.106,Croatia
44.2749,16.1499,Croatia
44.2749,16.1938,Croatia
44.231,15.9302,Croatia
44.231,15.9741,Croatia
44.231,16.0181,Croatia
44.231,16.062,Croatia
44.231,16.106,Croatia
44.231,16.1499,Croatia
44.231,16.1938,Croatia
44.187,15.8862,Croatia
44.187,15.9302,Croatia
44.187,16.0181,Croatia
44.187,16.062,Croatia
44.187,16.106,Croatia
44.187,16.1499,Croatia
44.187,16.1938,Croatia
44.187,16.2378,Croatia
44.1431,15.9741,Croatia
44.1431,16.0181,Croatia
44.1431,16.062,Croatia
44.1431,16.2817,Croatia
44.0991,16.3257,Croatia
42.9565,16.897,Croatia
42.9565,16.9409,Croatia
42.9565,16.9849,Croatia
42.9126,16.897,Croatia
42.7808,17.4243,Croatia
42.7808,17.4683,Croatia
42.7368,17.6001,Croatia
42.7368,17.644,Croatia
