latitude,longitude,country
57.3267,11.0962,Denmark
57.2827,10.9644,Denmark
57.2827,11.0083,Denmark
57.2827,11.0522,Denmark
57.2388,11.0083,Denmark
57.1509,8.9868,Denmark
57.1509,9.0308,Denmark
57.1509,9.0747,Denmark
57.1509,9.1187,Denmark
57.1069,8.7671,Denmark
57.1069,8.811,Denmark
57.1069,8.855,Denmark
57.1069,8.8989,Denmark
57.1069,8.9429,Denmark
57.1069,8.9868,Denmark
57.1069,9.0308,Denmark
57.1069,9.0747,Denmark
57.063,8.811,Denmark
57.063,8.855,Denmark
57.063,8.8989,Denmark
57.063,8.9429,Denmark
57.063,8.9868,Denmark
57.063,9.0308,Denmark
57.063,9.0747,Denmark
57.063,9.1187,Denmark
57.019,8.8989,Denmark
57.019,8.9429,Denmark
56.9751,8.9429,Denmark
56.8872,8.3276,Denmark
56.8872,8.3716,Denmark
56.8433,8.2837,Denmark
56.8433,8.3276,Denmark
56.7993,8.2837,Denmark
56.4478,8.1519,Denmark
56.4038,8.1519,Denmark
56.4038,8.1958,Denmark
56.4038,8.2397,Denmark
56.3599,8.1519,Denmark
56.3599,8.1958,Denmark
56.3599,8.2397,Denmark
56.3159,8.1519,Denmark
56.3159,8.1958,Denmark
56.3159,8.2397,Denmark
56.272,8.1519,Denmark
56.228,8.1519,Denmark
56.1841,8.1519,Denmark
56.1841,8.1958,Denmark
55.9644,10.5688,Denmark
55.9204,8.1958,Denmark
55.9204,10.5688,Denmark
55.9204,10.6128,Denmark
55.8765,8.1958,Denmark
55.8765,8.2397,Denmark
55.8765,8.3276,Denmark
55.8765,10.6567,Denmark
55.8325,8.1958,Denmark
55.7007,8.1519,Denmark
55.6567,8.1519,Denmark
55.2612,14.7437,Denmark
55.2173,14.7437,Denmark
55.1733,14.8755,Denmark
55.1733,15.0513,Denmark
55.1294,14.8755,Denmark
55.1294,14.9194,Denmark
55.1294,14.9634,Denmark
55.1294,15.0513,Denmark
55.0854,10.9204,Denmark
55.0854,15.0073,Denmark
55.0854,15.0513,Denmark
55.0415,8.6792,Denmark
55.0415,14.8755,Denmark
55.0415,14.9194,Denmark
55.0415,14.9634,Denmark
55.0415,15.0073,Denmark
55.0415,15.0513,Denmark
54.9976,10.8765,Denmark
54.9976,12.5024,Denmark
54.9536,12.5024,Denmark
54.9097,10.3052,Denmark
54.8657,10.3491,Denmark
54.8657,10.6567,Denmark
54.8657,10.7886,Denmark
54.8218,10.6567,Denmark
54.8218,10.7446,Denmark
54.7778,10.7007,Denmark
54.7778,10.7446,Denmark
54.7339,11.1841,Denmark
