latitude,longitude,country
62.2925,-7.0532,Faroe Islands
62.2925,-7.0093,Faroe Islands
62.2925,-6.9653,Faroe Islands
62.2925,-6.9214,Faroe Islands
62.2485,-7.1411,Faroe Islands
62.2485,-7.0972,Faroe Islands
62.2046,-7.0972,Faroe Islands
62.1167,-7.4048,Faroe Islands
62.1167,-7.3608,Faroe Islands
62.1167,-7.3169,Faroe Islands
62.1167,-7.2729,Faroe Islands
62.1167,-7.1851,Faroe Islands
61.897,-6.8774,Faroe Islands
61.897,-6.8335,Faroe Islands
61.853,-6.8335,Faroe Islands
61.853,-6.7896,Faroe Islands
61.8091,-6.7456,Faroe Islands
61.8091,-6.7017,Faroe Islands
61.8091,-6.6577,Faroe Islands
61.5894,-6.8335,Faroe Islands
61.5015,-6.8335,Faroe Islands
61.5015,-6.7456,Faroe Islands
61.4575,-6.7456,Faroe Islands
