latitude,longitude,country
70.0269,27.5757,Finland
70.0269,27.6196,Finland
70.0269,27.6636,Finland
69.9829,27.6196,Finland
69.9829,27.6636,Finland
69.9829,27.9272,Finland
69.9829,27.9712,Finland
69.9829,28.0151,Finland
69.939,27.6196,Finland
69.939,27.6636,Finland
69.939,27.9272,Finland
69.939,27.9712,Finland
69.939,28.0151,Finland
69.939,28.0591,Finland
69.939,28.103,Finland
69.895,27.356,Finland
69.895,27.3999,Finland
69.895,27.6196,Finland
69.895,27.6636,Finland
69.895,27.8833,Finland
69.895,27.9272,Finland
69.895,28.103,Finland
69.895,28.147,Finland
69.895,28.1909,Finland
69.8511,26.6968,Finland
69.8511,26.7407,Finland
69.8511,26.7847,Finland
69.8511,26.8286,Finland
69.8511,27.2241,Finland
69.8511,27.2681,Finland
69.8511,27.312,Finland
69.8511,27.356,Finland
69.8511,27.7954,Finland
69.8511,27.8394,Finland
69.8511,28.1909,Finland
69.8511,28.2349,Finland
69.8511,28.2788,Finland
69.8511,28.3228,Finland
69.8071,26.4331,Finland
69.8071,27.0044,Finland
69.8071,27.0483,Finland
69.8071,27.0923,Finland
69.8071,27.1362,Finland
69.8071,27.1802,Finland
69.8071,27.2241,Finland
69.8071,27.2681,Finland
69.8071,27.312,Finland
69.8071,27.356,Finland
69.8071,27.7515,Finland
69.8071,27.7954,Finland
69.8071,28.1909,Finland
69.8071,28.2349,Finland
69.8071,28.2788,Finland
69.7632,26.3013,Finland
69.7632,26.3452,Finland
69.7632,26.3892,Finland
69.7632,26.4331,Finland
69.7632,26.521,Finland
69.7632,26.5649,Finland
69.7632,26.8726,Finland
69.7632,26.9165,Finland
69.7632,26.9604,Finland
69.7632,27.0044,Finland
69.7632,27.0483,Finland
69.7632,27.356,Finland
69.7632,27.3999,Finland
69.7632,27.4438,Finland
69.7632,27.4878,Finland
69.7632,27.7954,Finland
69.7632,27.8394,Finland
69.7632,28.2349,Finland
69.7632,28.2788,Finland
69.7632,28.3228,Finland
69.7192,26.3892,Finland
69.7192,26.4331,Finland
69.7192,26.9165,Finland
69.7192,26.9604,Finland
69.7192,27.0044,Finland
69.7192,27.0483,Finland
69.7192,27.0923,Finland
69.7192,27.356,Finland
69.7192,27.3999,Finland
69.7192,27.4878,Finland
69.7192,27.5317,Finland
