latitude,longitude,country
47.3071,3.9331,France
47.3071,3.9771,France
47.2632,3.4058,France
47.2632,3.4497,France
47.2632,3.5376,France
47.2632,3.8892,France
47.2632,3.9771,France
47.2192,3.4058,France
47.2192,3.4497,France
47.2192,3.5376,France
47.2192,3.5815,France
47.2192,3.8013,France
47.2192,3.9331,France
47.2192,3.9771,France
47.1753,3.4497,France
47.1753,3.4937,France
47.1753,3.5376,France
47.1753,3.5815,France
47.1753,3.6255,France
47.1753,3.6694,France
47.1753,3.7134,France
47.1753,3.7573,France
47.1313,3.4937,France
47.1313,3.5376,France
47.1313,3.5815,France
47.1313,3.6255,France
47.1313,3.6694,France
47.1313,3.7134,France
47.1313,3.7573,France
47.0874,3.5376,France
47.0874,3.5815,France
47.0874,3.6255,France
47.0874,3.6694,France
47.0874,3.7134,France
47.0874,3.7573,France
47.0435,3.5815,France
47.0435,3.7134,France
47.0435,3.7573,France
46.9995,3.6255,France
46.9995,3.6694,France
46.9995,3.7134,France
46.9995,3.7573,France
46.9556,3.6694,France
46.9556,3.7134,France
46.9556,3.7573,France
46.9116,1.0327,France
46.9116,1.0767,France
46.9116,1.1206,France
46.8677,1.1206,France
46.7798,1.1206,France
46.604,1.2085,France
46.5601,1.2085,France
46.5601,1.2524,France
46.5601,1.2964,France
46.5161,1.0767,France
46.5161,1.1206,France
46.5161,1.1646,France
46.5161,1.2085,France
46.5161,1.2524,France
46.5161,1.2964,France
46.5161,1.3403,France
46.4722,1.1206,France
46.4722,1.1646,France
46.4722,1.2524,France
46.4722,1.2964,France
46.4282,1.0767,France
46.4282,1.1206,France
46.4282,1.1646,France
46.4282,1.2085,France
46.4282,1.9116,France
46.4282,1.9556,France
46.4282,1.9995,France
46.4282,2.0435,France
46.4282,2.0874,France
46.3843,1.0327,France
46.3843,1.0767,France
46.3843,1.1206,France
46.3843,1.1646,France
46.3843,1.2085,France
46.3843,1.2524,France
46.3843,2.0874,France
46.3403,1.0767,France
46.3403,1.1206,France
46.3403,1.2085,France
46.0767,2.2632,France
46.0767,2.3071,France
45.9888,1.9556,France
45.9448,1.9556,France
45.9448,1.9995,France
45.9009,1.9556,France
45.9009,1.9995,France
45.9009,2.0435,France
45.8569,1.9995,France
45.8569,2.0435,France
45.8569,2.0874,France
45.8569,2.2632,France
45.8569,2.3071,France
45.813,1.9995,France
45.813,2.0435,France
45.813,2.0874,France
45.813,2.1313,France
45.813,2.1753,France
45.813,2.2192,France
45.813,2.2632,France
45.813,2.3071,France
45.769,1.9556,France
45.769,1.9995,France
45.769,2.0435,France
45.769,2.0874,France
45.769,2.1313,France
45.769,2.1753,France
45.7251,2.0874,France
43.0005,9.3823,France
43.0005,9.4263,France
42.4292,8.6792,France
42.4292,8.7231,France
42.3853,8.5913,France
42.3853,8.6353,France
42.3853,8.6792,France
42.3853,8.7231,France
42.3853,8.7671,France
42.3853,8.811,France
42.3853,8.8989,France
42.3853,8.9429,France
42.3413,8.6353,France
42.3413,8.6792,France
42.3413,8.7231,France
42.3413,8.811,France
42.3413,8.855,France
42.3413,8.8989,France
42.2974,8.6792,France
42.2974,8.7231,France
42.2974,8.7671,France
42.2974,8.811,France
42.2974,8.855,France
42.2974,8.8989,France
42.2974,8.9429,France
42.2534,8.6353,France
42.2534,8.7671,France
42.2534,8.811,France
42.2534,8.855,France
42.2534,8.8989,France
42.2534,8.9429,France
42.2534,8.9868,France
42.2095,8.5913,France
42.2095,8.6353,France
42.2095,8.6792,France
42.2095,8.7231,France
42.2095,8.7671,France
42.2095,8.811,France
42.2095,8.855,France
42.2095,8.8989,France
42.2095,8.9429,France
42.2095,8.9868,France
42.2095,9.0308,France
42.2095,9.0747,France
42.2095,9.2944,France
42.2095,9.3384,France
42.1655,8.855,France
42.1655,8.8989,France
42.1655,8.9429,France
42.1655,8.9868,France
42.1655,9.0747,France
42.1655,9.1187,France
42.1655,9.2065,France
42.1655,9.2505,France
42.1655,9.2944,France
42.1655,9.3384,France
42.1655,9.3823,France
42.1216,8.9868,France
42.1216,9.0747,France
42.1216,9.1187,France
42.1216,9.1626,France
42.1216,9.2065,France
42.1216,9.2505,France
42.1216,9.2944,France
42.1216,9.3384,France
42.0776,9.1187,France
42.0776,9.1626,France
42.0776,9.2065,France
42.0776,9.2505,France
42.0776,9.2944,France
42.0337,9.0747,France
42.0337,9.1187,France
42.0337,9.1626,France
42.0337,9.2065,France
42.0337,9.2505,France
41.9897,9.1187,France
41.9897,9.1626,France
41.9897,9.2065,France
41.9897,9.2505,France
41.9458,9.2065,France
41.9458,9.2505,France
41.9019,9.1626,France
41.9019,9.2065,France
41.9019,9.2505,France
41.8579,9.1187,France
41.8579,9.1626,France
41.8579,9.2065,France
41.8579,9.2505,France
41.814,9.1626,France
41.814,9.2065,France
41.814,9.2505,France
41.5942,8.811,France
