latitude,longitude,country
41.5503,24.4995,Greece
41.5063,24.0601,Greece
41.5063,24.1479,Greece
41.5063,24.1919,Greece
41.5063,24.2358,Greece
41.5063,24.2798,Greece
41.5063,24.3237,Greece
41.5063,24.3677,Greece
41.5063,24.4116,Greece
41.5063,24.4556,Greece
41.5063,24.4995,Greece
41.5063,24.5435,Greece
41.4624,24.0601,Greece
41.4624,24.104,Greece
41.4624,24.1479,Greece
41.4624,24.2358,Greece
41.4624,24.2798,Greece
41.4624,24.3237,Greece
41.4624,24.3677,Greece
41.4624,24.4116,Greece
41.4624,24.4556,Greece
41.4624,24.4995,Greece
41.4624,24.5435,Greece
41.4185,24.0161,Greece
41.4185,24.0601,Greece
41.4185,24.104,Greece
41.4185,24.1479,Greece
41.4185,24.1919,Greece
41.4185,24.2358,Greece
41.4185,24.2798,Greece
41.4185,24.3237,Greece
41.4185,24.4116,Greece
41.4185,24.4556,Greece
41.4185,24.4995,Greece
41.4185,24.5435,Greece
41.4185,24.5874,Greece
41.4185,24.6313,Greece
41.3745,24.104,Greece
41.3745,24.1479,Greece
41.3745,24.1919,Greece
41.3745,24.2798,Greece
41.3745,24.3237,Greece
41.3745,24.4116,Greece
41.3745,24.4556,Greece
41.3745,24.4995,Greece
41.3745,24.5435,Greece
41.3745,24.5874,Greece
41.3745,24.6313,Greece
41.3745,24.6753,Greece
41.3745,24.7192,Greece
41.3745,24.8071,Greece
41.3745,24.8511,Greece
41.3745,24.895,Greece
41.3745,26.1255,Greece
41.3745,26.1694,Greece
41.3306,24.6313,Greece
41.3306,25.9937,Greece
41.3306,26.0376,Greece
41.3306,26.0815,Greece
41.3306,26.1255,Greece
41.3306,26.1694,Greece
41.2866,25.5542,Greece
41.2866,25.5981,Greece
41.2866,25.6421,Greece
41.2866,25.686,Greece
41.2866,25.73,Greece
41.2866,25.7739,Greece
41.2866,25.8179,Greece
41.2866,25.8618,Greece
41.2866,25.9058,Greece
41.2866,25.9497,Greece
41.2866,25.9937,Greece
41.2866,26.0376,Greece
41.2866,26.0815,Greece
41.2866,26.1255,Greece
41.2866,26.1694,Greece
41.2427,25.6421,Greece
41.2427,25.686,Greece
41.2427,25.73,Greece
41.2427,25.7739,Greece
41.2427,25.8179,Greece
41.2427,25.8618,Greece
41.2427,25.9058,Greece
41.2427,25.9497,Greece
41.2427,25.9937,Greece
41.2427,26.0376,Greece
41.2427,26.0815,Greece
41.2427,26.1255,Greece
41.2427,26.1694,Greece
41.1987,25.686,Greece
41.1987,25.73,Greece
41.1987,25.7739,Greece
41.1987,25.8179,Greece
41.1987,25.8618,Greece
41.1987,25.9058,Greece
41.1987,25.9497,Greece
41.1987,25.9937,Greece
41.1987,26.0376,Greece
41.1987,26.0815,Greece
41.1987,26.1255,Greece
41.1548,25.7739,Greece
41.1548,25.8179,Greece
41.1548,25.8618,Greece
41.1548,25.9058,Greece
41.1548,25.9497,Greece
41.1548,25.9937,Greece
41.1548,26.0376,Greece
41.1548,26.0815,Greece
41.1548,26.1255,Greece
41.1108,25.8618,Greece
41.1108,25.9058,Greece
41.1108,25.9497,Greece
41.1108,25.9937,Greece
41.1108,26.0376,Greece
41.1108,26.0815,Greece
40.8472,21.0278,Greece
40.8032,20.9839,Greece
40.8032,21.0278,Greece
40.8032,21.0718,Greece
40.7593,20.9839,Greece
40.7593,21.0278,Greece
40.7593,21.0718,Greece
40.4956,25.5542,Greece
40.4956,25.5981,Greece
40.4517,20.8521,Greece
40.4517,20.896,Greece
40.4517,20.9399,Greece
40.4517,20.9839,Greece
40.4517,25.5542,Greece
40.4517,25.5981,Greece
40.4517,25.6421,Greece
40.4077,20.8081,Greece
40.4077,20.8521,Greece
40.4077,20.896,Greece
40.4077,20.9399,Greece
40.4077,20.9839,Greece
40.4077,24.0161,Greece
40.4077,25.5981,Greece
40.3638,20.7642,Greece
40.3638,20.8081,Greece
40.3638,20.8521,Greece
40.3638,20.896,Greece
40.3638,20.9399,Greece
40.3638,20.9839,Greece
40.3638,21.0278,Greece
40.3638,24.0161,Greece
40.3638,24.0601,Greece
40.3638,24.104,Greece
40.3198,20.7642,Greece
40.3198,20.8081,Greece
40.3198,20.8521,Greece
40.3198,20.896,Greece
40.3198,20.9399,Greece
40.3198,20.9839,Greece
40.3198,21.0278,Greece
40.3198,21.0718,Greece
40.3198,21.1157,Greece
40.3198,24.0601,Greece
40.3198,24.104,Greece
40.3198,24.1479,Greece
40.3198,24.1919,Greece
40.2759,20.7202,Greece
40.2759,20.7642,Greece
40.2759,20.8081,Greece
40.2759,20.8521,Greece
40.2759,20.896,Greece
40.2759,20.9399,Greece
40.2759,20.9839,Greece
40.2759,21.0278,Greece
40.2759,21.0718,Greece
40.2759,21.1157,Greece
40.2759,24.1919,Greece
40.2759,24.2358,Greece
40.2319,20.7202,Greece
40.2319,20.7642,Greece
40.2319,20.8081,Greece
40.2319,20.8521,Greece
40.2319,20.896,Greece
40.2319,20.9399,Greece
40.2319,20.9839,Greece
40.2319,21.0718,Greece
