latitude,longitude,country
55.0415,-8.1079,Ireland
55.0415,-8.064,Ireland
54.9976,-8.064,Ireland
54.9536,-8.2397,Ireland
54.9536,-8.1079,Ireland
54.9097,-8.2837,Ireland
54.9097,-8.2397,Ireland
54.9097,-8.1958,Ireland
54.9097,-8.1519,Ireland
54.8657,-8.2397,Ireland
54.8657,-8.1958,Ireland
54.8657,-8.1519,Ireland
54.8657,-8.064,Ireland
54.8218,-8.1958,Ireland
54.8218,-8.1519,Ireland
54.8218,-8.1079,Ireland
54.8218,-8.064,Ireland
54.7778,-8.5474,Ireland
54.7778,-8.5034,Ireland
54.7778,-8.1958,Ireland
54.7778,-8.1519,Ireland
54.7778,-8.1079,Ireland
54.7339,-8.6792,Ireland
54.7339,-8.6353,Ireland
54.7339,-8.5913,Ireland
54.7339,-8.5474,Ireland
54.7339,-8.5034,Ireland
54.6899,-8.7231,Ireland
54.6899,-8.6792,Ireland
54.6899,-8.5913,Ireland
54.6899,-8.5474,Ireland
54.2944,-9.6899,Ireland
54.2944,-9.646,Ireland
54.2944,-9.6021,Ireland
54.2944,-9.5581,Ireland
54.2944,-9.5142,Ireland
54.2944,-9.4702,Ireland
54.2944,-9.4263,Ireland
54.2944,-9.3823,Ireland
54.2944,-9.3384,Ireland
54.2505,-9.646,Ireland
54.2505,-9.6021,Ireland
54.2505,-9.5581,Ireland
54.2505,-9.5142,Ireland
54.2505,-9.4702,Ireland
54.2505,-9.4263,Ireland
54.2505,-9.3823,Ireland
54.2505,-9.3384,Ireland
54.2505,-9.2944,Ireland
54.2065,-10.0854,Ireland
54.2065,-9.8657,Ireland
54.2065,-9.8218,Ireland
54.2065,-9.646,Ireland
54.2065,-9.6021,Ireland
54.2065,-9.5142,Ireland
54.2065,-9.4702,Ireland
54.2065,-9.4263,Ireland
54.2065,-9.3823,Ireland
54.1626,-10.0854,Ireland
54.1626,-9.9536,Ireland
54.1626,-9.9097,Ireland
54.1626,-9.8657,Ireland
54.1626,-9.8218,Ireland
54.1626,-9.7778,Ireland
54.1626,-9.6899,Ireland
54.1626,-9.646,Ireland
54.1626,-9.6021,Ireland
54.1626,-9.5581,Ireland
54.1626,-9.5142,Ireland
54.1626,-9.4702,Ireland
54.1626,-9.4263,Ireland
54.1626,-8.855,Ireland
54.1187,-9.9097,Ireland
54.1187,-9.8657,Ireland
54.1187,-9.8218,Ireland
54.1187,-9.7778,Ireland
54.1187,-9.7339,Ireland
54.1187,-9.6899,Ireland
54.1187,-9.646,Ireland
54.1187,-9.6021,Ireland
54.1187,-9.5581,Ireland
54.1187,-9.5142,Ireland
54.1187,-9.4702,Ireland
54.1187,-9.4263,Ireland
54.0747,-9.8218,Ireland
54.0747,-9.7778,Ireland
54.0747,-9.7339,Ireland
54.0747,-9.6021,Ireland
54.0747,-9.5581,Ireland
54.0747,-9.5142,Ireland
54.0747,-9.4702,Ireland
54.0747,-9.4263,Ireland
54.0308,-9.8218,Ireland
54.0308,-9.7778,Ireland
54.0308,-9.6899,Ireland
54.0308,-9.646,Ireland
54.0308,-9.6021,Ireland
54.0308,-9.5581,Ireland
54.0308,-9.5142,Ireland
54.0308,-9.4702,Ireland
54.0308,-9.4263,Ireland
53.9868,-10.2173,Ireland
53.9868,-10.1733,Ireland
53.9868,-10.1294,Ireland
53.9868,-10.0415,Ireland
53.9868,-9.9976,Ireland
53.9868,-9.8657,Ireland
53.9868,-9.8218,Ireland
53.9868,-9.7778,Ireland
53.9868,-9.7339,Ireland
53.9868,-9.6899,Ireland
53.9868,-9.6021,Ireland
53.9868,-9.5581,Ireland
53.9868,-9.5142,Ireland
53.9868,-9.4263,Ireland
53.9429,-10.0415,Ireland
53.9429,-9.9976,Ireland
53.9429,-9.9536,Ireland
53.9429,-9.8657,Ireland
53.9429,-9.8218,Ireland
53.9429,-9.7778,Ireland
53.9429,-9.646,Ireland
53.9429,-9.6021,Ireland
53.9429,-9.5581,Ireland
53.8989,-9.9536,Ireland
53.8989,-9.8218,Ireland
53.8989,-9.7339,Ireland
53.8989,-9.6899,Ireland
53.8989,-9.646,Ireland
53.7671,-9.7339,Ireland
53.7671,-9.6899,Ireland
53.7231,-9.8657,Ireland
53.7231,-9.8218,Ireland
53.7231,-9.7778,Ireland
53.7231,-9.7339,Ireland
53.7231,-9.6899,Ireland
53.7231,-9.646,Ireland
53.7231,-9.6021,Ireland
53.6792,-9.9097,Ireland
53.6792,-9.8657,Ireland
53.6792,-9.8218,Ireland
53.6792,-9.7778,Ireland
53.6792,-9.6899,Ireland
53.6792,-9.6021,Ireland
53.6792,-9.5581,Ireland
53.6792,-9.5142,Ireland
53.6792,-9.4702,Ireland
53.6792,-9.4263,Ireland
53.6353,-9.8218,Ireland
53.6353,-9.7778,Ireland
53.6353,-9.7339,Ireland
53.6353,-9.6899,Ireland
53.6353,-9.646,Ireland
53.6353,-9.6021,Ireland
53.6353,-9.5142,Ireland
53.6353,-9.4702,Ireland
53.6353,-9.4263,Ireland
53.5913,-9.8657,Ireland
53.5913,-9.8218,Ireland
53.5913,-9.7778,Ireland
53.5913,-9.7339,Ireland
53.5913,-9.6899,Ireland
53.5913,-9.646,Ireland
53.5913,-9.6021,Ireland
53.5913,-9.5581,Ireland
53.5913,-9.5142,Ireland
53.5913,-9.4702,Ireland
53.5913,-9.4263,Ireland
53.5474,-10.0854,Ireland
