latitude,longitude,country
58.0298,25.0269,Latvia
58.0298,25.0708,Latvia
58.0298,25.1147,Latvia
58.0298,25.1587,Latvia
58.0298,25.2905,Latvia
58.0298,25.3345,Latvia
57.9858,24.8511,Latvia
57.9858,24.9829,Latvia
57.9858,25.0269,Latvia
57.9858,25.0708,Latvia
57.9858,25.1147,Latvia
57.9858,25.1587,Latvia
57.9858,25.2026,Latvia
57.9858,25.2466,Latvia
57.9858,25.2905,Latvia
57.9858,25.3345,Latvia
57.9858,25.3784,Latvia
57.9858,25.4224,Latvia
57.9858,25.4663,Latvia
57.9419,24.6313,Latvia
57.9419,24.6753,Latvia
57.9419,24.7192,Latvia
57.9419,24.7632,Latvia
57.9419,24.8071,Latvia
57.9419,24.8511,Latvia
57.9419,24.895,Latvia
57.9419,24.939,Latvia
57.9419,24.9829,Latvia
57.9419,25.0269,Latvia
57.9419,25.0708,Latvia
57.9419,25.1147,Latvia
57.9419,25.1587,Latvia
57.9419,25.2026,Latvia
57.9419,25.2466,Latvia
57.9419,25.2905,Latvia
57.9419,25.3345,Latvia
57.9419,25.3784,Latvia
57.9419,25.4224,Latvia
57.9419,25.4663,Latvia
57.9419,25.5103,Latvia
57.9419,25.5542,Latvia
57.8979,24.4556,Latvia
57.8979,24.4995,Latvia
57.8979,24.5435,Latvia
57.8979,24.5874,Latvia
57.8979,24.6313,Latvia
57.8979,24.6753,Latvia
57.8979,24.7192,Latvia
57.8979,24.7632,Latvia
57.8979,24.8071,Latvia
57.8979,24.8511,Latvia
57.8979,24.895,Latvia
57.8979,24.939,Latvia
57.8979,24.9829,Latvia
57.8979,25.0269,Latvia
57.8979,25.0708,Latvia
57.8979,25.1147,Latvia
57.8979,25.1587,Latvia
57.8979,25.2026,Latvia
57.8979,25.2466,Latvia
57.8979,25.4663,Latvia
57.8979,25.5103,Latvia
57.8979,25.5542,Latvia
57.8979,25.5981,Latvia
57.8979,25.6421,Latvia
57.8979,25.686,Latvia
57.8979,25.73,Latvia
57.854,24.4116,Latvia
57.854,24.4556,Latvia
57.854,24.4995,Latvia
57.854,24.5435,Latvia
57.854,24.5874,Latvia
57.854,24.6313,Latvia
57.854,24.6753,Latvia
57.854,24.7192,Latvia
57.854,24.7632,Latvia
57.854,24.8071,Latvia
57.854,24.8511,Latvia
57.854,24.895,Latvia
57.854,24.939,Latvia
57.854,24.9829,Latvia
57.854,25.0269,Latvia
57.854,25.0708,Latvia
57.854,25.1147,Latvia
57.854,25.1587,Latvia
57.854,25.2026,Latvia
57.854,25.2466,Latvia
57.854,25.2905,Latvia
57.854,25.3345,Latvia
57.854,25.3784,Latvia
57.854,25.4224,Latvia
57.854,25.4663,Latvia
57.854,25.5103,Latvia
57.854,25.5542,Latvia
57.854,25.5981,Latvia
57.854,25.6421,Latvia
57.854,25.686,Latvia
57.854,25.73,Latvia
57.854,25.7739,Latvia
57.854,25.8179,Latvia
57.854,25.8618,Latvia
57.8101,24.4556,Latvia
57.8101,24.4995,Latvia
57.8101,24.5435,Latvia
57.8101,24.5874,Latvia
57.8101,24.6313,Latvia
57.8101,24.6753,Latvia
57.8101,24.7192,Latvia
57.8101,24.7632,Latvia
57.8101,24.8071,Latvia
57.8101,24.8511,Latvia
57.8101,24.895,Latvia
57.8101,24.939,Latvia
57.8101,24.9829,Latvia
57.8101,25.0269,Latvia
57.8101,25.0708,Latvia
57.8101,25.1147,Latvia
57.8101,25.1587,Latvia
57.8101,25.2026,Latvia
57.8101,25.2466,Latvia
57.8101,25.2905,Latvia
57.8101,25.3345,Latvia
57.8101,25.3784,Latvia
57.8101,25.4224,Latvia
57.8101,25.4663,Latvia
57.8101,25.5103,Latvia
57.8101,25.5542,Latvia
57.8101,25.5981,Latvia
57.8101,25.6421,Latvia
57.8101,25.686,Latvia
57.8101,25.73,Latvia
57.8101,25.7739,Latvia
57.8101,25.8179,Latvia
57.7661,24.4995,Latvia
57.7661,24.5874,Latvia
57.7661,24.6313,Latvia
57.7661,24.6753,Latvia
57.7661,24.7192,Latvia
57.7661,24.7632,Latvia
57.7661,24.939,Latvia
57.7661,24.9829,Latvia
57.7661,25.0269,Latvia
57.7661,25.0708,Latvia
57.7661,25.1147,Latvia
57.7661,25.1587,Latvia
57.7661,25.2466,Latvia
57.7661,25.2905,Latvia
57.7661,25.3345,Latvia
57.7661,25.3784,Latvia
57.7661,25.4224,Latvia
57.7661,25.4663,Latvia
57.7661,25.5103,Latvia
57.7661,25.5542,Latvia
57.7661,25.6421,Latvia
57.7661,25.686,Latvia
57.7661,25.73,Latvia
57.7661,25.7739,Latvia
57.7661,25.8179,Latvia
57.7222,24.4556,Latvia
57.7222,24.4995,Latvia
57.7222,24.5435,Latvia
57.7222,24.5874,Latvia
57.7222,24.6313,Latvia
57.7222,24.6753,Latvia
57.7222,24.7192,Latvia
57.7222,24.7632,Latvia
57.7222,24.8071,Latvia
57.7222,24.8511,Latvia
57.7222,24.895,Latvia
57.7222,24.939,Latvia
57.7222,24.9829,Latvia
57.7222,25.0269,Latvia
57.7222,25.0708,Latvia
57.7222,25.1147,Latvia
57.7222,25.1587,Latvia
57.7222,25.2026,Latvia
57.7222,25.2905,Latvia
