latitude,longitude,country
74.5093,18.9624,Norway
74.5093,19.0063,Norway
74.5093,19.0503,Norway
74.5093,19.0942,Norway
74.5093,19.1382,Norway
74.4653,18.9624,Norway
74.4653,19.0063,Norway
74.4653,19.1821,Norway
74.4653,19.2261,Norway
74.3774,19.1382,Norway
71.0376,-8.4595,Norway
70.9937,-8.5034,Norway
70.9937,-8.4595,Norway
70.9937,-8.4155,Norway
70.9937,-8.3716,Norway
70.9937,-8.3276,Norway
70.9937,-8.2837,Norway
70.9497,-8.6792,Norway
70.9497,-8.6353,Norway
70.9497,-8.5913,Norway
70.9058,-8.7671,Norway
70.9058,27.7075,Norway
70.9058,27.7515,Norway
70.8618,24.895,Norway
70.8618,24.939,Norway
70.8618,25.4663,Norway
70.8618,25.5103,Norway
70.8618,25.5542,Norway
70.8618,25.5981,Norway
70.8618,27.7075,Norway
70.8618,27.7515,Norway
70.8179,25.2466,Norway
70.8179,25.3345,Norway
70.8179,25.73,Norway
70.8179,25.7739,Norway
70.8179,27.6636,Norway
70.8179,27.7075,Norway
70.8179,28.7183,Norway
70.8179,28.7622,Norway
70.8179,28.8062,Norway
70.7739,25.2905,Norway
70.7739,25.3345,Norway
70.7739,27.6196,Norway
70.7739,27.6636,Norway
70.7739,28.6743,Norway
70.7739,28.7183,Norway
70.7739,28.7622,Norway
70.7739,28.8062,Norway
70.7739,28.8501,Norway
70.73,25.2026,Norway
70.73,25.2466,Norway
70.73,27.4438,Norway
70.73,27.4878,Norway
70.73,27.5317,Norway
70.73,28.7183,Norway
70.73,28.7622,Norway
70.686,25.0708,Norway
70.686,25.1147,Norway
70.686,25.1587,Norway
70.686,25.4663,Norway
70.686,27.1802,Norway
70.686,27.356,Norway
70.686,27.3999,Norway
70.686,27.4438,Norway
70.686,27.4878,Norway
70.686,27.5317,Norway
70.686,28.5864,Norway
70.686,28.6304,Norway
70.686,28.6743,Norway
70.6421,22.478,Norway
70.6421,22.522,Norway
70.6421,22.5659,Norway
70.6421,25.1147,Norway
70.6421,25.3345,Norway
70.6421,25.3784,Norway
70.6421,26.0376,Norway
70.6421,26.0815,Norway
70.6421,26.1255,Norway
70.6421,26.1694,Norway
70.6421,26.2134,Norway
70.6421,26.2573,Norway
70.6421,26.3013,Norway
70.6421,26.3452,Norway
70.6421,26.3892,Norway
70.6421,26.521,Norway
70.6421,26.5649,Norway
70.6421,26.6089,Norway
70.6421,27.312,Norway
70.6421,27.356,Norway
70.6421,27.5757,Norway
70.6421,27.6196,Norway
70.6421,27.6636,Norway
70.6421,27.7075,Norway
70.6421,27.7515,Norway
70.6421,29.1138,Norway
70.6421,29.1577,Norway
70.5981,25.9497,Norway
70.5981,25.9937,Norway
70.5981,26.0376,Norway
70.5981,27.3999,Norway
70.5981,27.4438,Norway
70.5981,27.5317,Norway
70.5981,27.5757,Norway
70.5981,29.0259,Norway
70.5981,29.0698,Norway
70.5981,29.1138,Norway
70.5542,25.8618,Norway
70.5542,25.9497,Norway
70.5542,25.9937,Norway
70.5542,26.0376,Norway
70.5542,28.4985,Norway
70.5542,29.0259,Norway
70.5542,29.0698,Norway
70.5542,29.1138,Norway
70.5103,25.8179,Norway
70.5103,25.8618,Norway
70.5103,25.9058,Norway
70.5103,25.9497,Norway
70.5103,28.9819,Norway
70.5103,29.0259,Norway
70.5103,29.0698,Norway
70.5103,29.1577,Norway
70.5103,29.2017,Norway
70.5103,29.2456,Norway
70.5103,30.3882,Norway
70.5103,30.4321,Norway
70.5103,30.4761,Norway
70.5103,30.52,Norway
70.5103,30.564,Norway
70.5103,30.6079,Norway
70.4663,25.73,Norway
70.4663,25.7739,Norway
70.4663,25.8179,Norway
70.4663,27.2681,Norway
70.4663,27.4438,Norway
70.4663,27.8394,Norway
70.4663,27.8833,Norway
70.4663,27.9272,Norway
70.4663,27.9712,Norway
70.4663,28.0151,Norway
70.4663,28.8501,Norway
70.4663,28.894,Norway
70.4663,28.938,Norway
70.4663,28.9819,Norway
70.4663,29.0259,Norway
70.4663,29.0698,Norway
70.4663,30.6958,Norway
70.4663,30.7397,Norway
70.4224,27.312,Norway
70.4224,27.356,Norway
70.4224,27.4438,Norway
70.4224,27.4878,Norway
70.4224,27.5317,Norway
70.4224,27.5757,Norway
70.4224,27.6196,Norway
70.4224,27.6636,Norway
70.4224,27.7075,Norway
70.4224,27.7515,Norway
70.4224,27.7954,Norway
70.4224,27.8394,Norway
70.4224,27.8833,Norway
70.4224,29.1138,Norway
70.4224,29.1577,Norway
70.4224,29.2017,Norway
70.4224,30.6958,Norway
70.4224,30.7397,Norway
70.4224,30.7837,Norway
70.3784,25.73,Norway
70.3784,25.8179,Norway
70.3784,25.8618,Norway
70.3784,25.9058,Norway
70.3784,25.9497,Norway
70.3784,26.7407,Norway
70.3784,26.7847,Norway
70.3784,26.8286,Norway
70.3784,26.8726,Norway
70.3784,26.9165,Norway
70.3784,26.9604,Norway
70.3784,27.356,Norway
70.3784,27.3999,Norway
70.3784,27.4438,Norway
70.3784,27.4878,Norway
70.3784,27.7954,Norway
70.3784,27.8394,Norway
70.3784,27.8833,Norway
70.3784,29.1138,Norway
70.3784,29.1577,Norway
70.3345,25.9497,Norway
70.3345,25.9937,Norway
70.3345,26.0376,Norway
70.3345,26.0815,Norway
70.3345,26.6968,Norway
70.3345,26.9165,Norway
70.3345,26.9604,Norway
70.3345,27.356,Norway
70.3345,27.3999,Norway
70.3345,27.7515,Norway
70.3345,27.7954,Norway
70.3345,29.2896,Norway
70.3345,29.3335,Norway
70.2905,26.1255,Norway
70.2905,26.1694,Norway
70.2905,26.2134,Norway
70.2905,26.2573,Norway
70.2905,26.3013,Norway
70.2905,26.3452,Norway
70.2905,26.3892,Norway
70.2905,26.8726,Norway
70.2905,26.9165,Norway
70.2905,27.356,Norway
70.2905,27.3999,Norway
70.2905,29.2456,Norway
70.2905,29.2896,Norway
70.2905,30.2563,Norway
70.2905,30.7397,Norway
70.2466,24.104,Norway
70.2466,24.1479,Norway
70.2466,24.5435,Norway
70.2466,25.4663,Norway
70.2466,26.7847,Norway
70.2466,26.8286,Norway
70.2466,27.356,Norway
70.2466,27.3999,Norway
70.2466,29.2017,Norway
70.2466,29.2456,Norway
70.2466,30.4761,Norway
70.2466,30.52,Norway
70.2466,30.564,Norway
70.2466,30.6079,Norway
70.2466,30.6519,Norway
70.2466,30.6958,Norway
70.2466,30.7397,Norway
70.2026,24.0601,Norway
70.2026,24.104,Norway
70.2026,24.4556,Norway
70.2026,24.4995,Norway
70.2026,24.5435,Norway
70.2026,25.3784,Norway
70.2026,27.1362,Norway
70.2026,27.1802,Norway
70.2026,27.2241,Norway
70.2026,27.2681,Norway
70.1587,24.104,Norway
70.1587,24.1479,Norway
70.1587,24.1919,Norway
70.1587,24.2358,Norway
70.1587,24.2798,Norway
70.1587,24.3237,Norway
70.1587,24.3677,Norway
70.1147,24.1919,Norway
70.1147,24.2358,Norway
70.1147,24.2798,Norway
70.1147,24.4116,Norway
70.1147,24.4556,Norway
70.0708,24.1919,Norway
70.0708,24.4116,Norway
70.0708,27.5317,Norway
70.0708,27.5757,Norway
70.0708,27.6196,Norway
70.0269,24.1919,Norway
70.0269,24.3237,Norway
70.0269,24.3677,Norway
69.9829,24.1479,Norway
69.9829,24.1919,Norway
69.9829,24.2358,Norway
69.9829,24.2798,Norway
69.9829,24.3677,Norway
69.9829,26.3013,Norway
69.9829,26.3452,Norway
69.9829,26.4331,Norway
69.9829,27.2681,Norway
69.9829,27.312,Norway
69.9829,27.356,Norway
69.939,24.1479,Norway
69.939,24.1919,Norway
69.939,24.2798,Norway
69.939,24.3237,Norway
69.939,26.4331,Norway
69.939,26.4771,Norway
69.939,26.521,Norway
69.939,26.5649,Norway
69.939,26.6968,Norway
69.939,26.7407,Norway
69.939,26.7847,Norway
69.939,26.8286,Norway
69.939,27.2681,Norway
69.895,24.1479,Norway
69.895,24.1919,Norway
69.895,24.2798,Norway
69.895,24.3237,Norway
69.895,24.3677,Norway
69.895,26.3892,Norway
69.895,26.4331,Norway
69.895,28.2349,Norway
69.895,29.0698,Norway
69.8511,24.104,Norway
69.8511,24.1479,Norway
69.8511,24.1919,Norway
69.8511,24.2358,Norway
69.8511,24.2798,Norway
69.8511,24.3237,Norway
69.8511,26.3452,Norway
69.8511,26.3892,Norway
69.8071,23.9282,Norway
69.8071,23.9722,Norway
69.8071,24.0161,Norway
69.8071,24.0601,Norway
69.8071,24.104,Norway
69.8071,24.1479,Norway
69.8071,24.1919,Norway
69.8071,24.6753,Norway
69.8071,24.7192,Norway
69.8071,24.7632,Norway
69.8071,24.8071,Norway
69.8071,24.8511,Norway
69.8071,24.895,Norway
69.8071,25.2466,Norway
69.8071,26.2134,Norway
69.8071,26.2573,Norway
69.8071,26.3013,Norway
69.7632,23.8403,Norway
69.7632,23.8843,Norway
69.7632,23.9282,Norway
69.7632,23.9722,Norway
69.7632,24.0161,Norway
69.7632,24.3237,Norway
69.7632,24.3677,Norway
69.7632,24.4116,Norway
69.7632,25.0269,Norway
69.7632,25.1587,Norway
69.7632,25.2026,Norway
69.7632,25.2466,Norway
69.7632,26.1255,Norway
69.7632,26.1694,Norway
69.7632,26.2134,Norway
69.7632,26.2573,Norway
69.7192,22.478,Norway
69.7192,22.522,Norway
69.7192,22.5659,Norway
69.7192,23.7524,Norway
69.7192,23.7964,Norway
69.7192,23.8403,Norway
69.7192,23.8843,Norway
69.7192,23.9282,Norway
69.7192,23.9722,Norway
69.7192,24.0161,Norway
69.7192,24.0601,Norway
69.7192,24.3237,Norway
69.7192,24.3677,Norway
69.7192,24.4556,Norway
69.7192,24.4995,Norway
69.7192,24.5435,Norway
69.7192,25.2026,Norway
69.7192,25.2466,Norway
69.7192,25.9058,Norway
69.7192,25.9497,Norway
69.7192,25.9937,Norway
69.7192,26.0376,Norway
69.7192,26.0815,Norway
69.7192,26.1255,Norway
69.6753,22.5659,Norway
69.6753,22.6099,Norway
69.6753,23.4009,Norway
69.6753,23.4448,Norway
69.6753,23.5327,Norway
69.6753,23.5767,Norway
69.6753,23.6206,Norway
69.6753,23.9282,Norway
69.6753,23.9722,Norway
69.6753,24.0161,Norway
69.6753,24.0601,Norway
69.6753,24.104,Norway
69.6753,24.3677,Norway
69.6753,24.4116,Norway
69.6753,24.6313,Norway
69.6753,24.6753,Norway
69.6753,25.2466,Norway
69.6753,25.2905,Norway
69.6753,25.8179,Norway
69.6753,25.8618,Norway
69.6753,25.9058,Norway
69.6753,25.9497,Norway
69.6313,22.1704,Norway
69.6313,22.2144,Norway
69.6313,22.2583,Norway
69.6313,23.4448,Norway
69.6313,23.4888,Norway
69.6313,23.5327,Norway
69.6313,23.6206,Norway
69.6313,23.6646,Norway
69.6313,23.9282,Norway
69.6313,23.9722,Norway
69.6313,24.0161,Norway
69.6313,24.0601,Norway
69.6313,24.104,Norway
69.6313,24.1479,Norway
69.6313,24.4116,Norway
69.6313,24.4556,Norway
69.6313,24.7192,Norway
69.6313,24.7632,Norway
69.6313,25.2905,Norway
69.6313,25.3345,Norway
69.6313,25.9497,Norway
69.6313,25.9937,Norway
69.5874,22.3022,Norway
69.5874,22.3462,Norway
69.5874,22.3901,Norway
69.5874,23.4888,Norway
69.5874,23.5327,Norway
69.5874,23.5767,Norway
69.5874,23.6646,Norway
69.5874,23.7085,Norway
69.5874,23.8843,Norway
69.5874,23.9282,Norway
69.5874,24.0601,Norway
69.5874,24.104,Norway
69.5874,24.1479,Norway
69.5874,24.1919,Norway
69.5874,24.2358,Norway
69.5874,24.4116,Norway
69.5874,24.4556,Norway
69.5874,24.8071,Norway
69.5874,24.8511,Norway
69.5874,25.3345,Norway
69.5874,25.3784,Norway
69.5874,25.9058,Norway
69.5874,25.9497,Norway
69.5435,23.4888,Norway
69.5435,23.5327,Norway
69.5435,23.5767,Norway
69.5435,23.6206,Norway
69.5435,23.7964,Norway
69.5435,23.8403,Norway
69.5435,23.8843,Norway
69.5435,23.9722,Norway
69.5435,24.0161,Norway
69.5435,24.104,Norway
69.5435,24.3677,Norway
69.5435,24.4116,Norway
69.5435,24.4556,Norway
69.5435,24.5435,Norway
69.5435,24.5874,Norway
69.5435,24.6313,Norway
69.5435,24.6753,Norway
69.5435,24.7192,Norway
69.5435,24.7632,Norway
69.5435,24.8071,Norway
69.5435,24.8511,Norway
69.5435,24.895,Norway
69.5435,24.939,Norway
69.5435,25.8179,Norway
69.5435,25.8618,Norway
69.5435,25.9058,Norway
69.4995,21.4233,Norway
69.4995,21.4673,Norway
69.4995,23.4888,Norway
69.4995,23.8403,Norway
69.4995,23.8843,Norway
69.4995,24.104,Norway
69.4995,24.1479,Norway
69.4995,24.3237,Norway
69.4995,24.3677,Norway
69.4995,24.4116,Norway
69.4995,24.5435,Norway
69.4995,24.5874,Norway
69.4995,24.9829,Norway
69.4995,25.0269,Norway
69.4995,25.0708,Norway
69.4556,21.2915,Norway
69.4556,21.4233,Norway
69.4556,21.4673,Norway
69.4556,21.5112,Norway
69.4556,21.5552,Norway
