latitude,longitude,country
54.3823,21.0718,Poland
54.3823,21.1157,Poland
54.3823,21.1597,Poland
54.3823,21.2036,Poland
54.3823,21.2476,Poland
54.3823,21.3794,Poland
54.3823,22.8296,Poland
54.3823,22.9175,Poland
54.3384,21.0718,Poland
54.3384,21.1157,Poland
54.3384,21.1597,Poland
54.3384,21.2036,Poland
54.3384,21.2476,Poland
54.3384,21.3794,Poland
54.3384,21.4233,Poland
54.3384,21.4673,Poland
54.3384,21.5112,Poland
54.3384,21.5552,Poland
54.3384,21.5991,Poland
54.3384,21.6431,Poland
54.3384,21.687,Poland
54.3384,21.731,Poland
54.3384,21.7749,Poland
54.3384,21.8188,Poland
54.3384,21.8628,Poland
54.3384,21.9067,Poland
54.3384,21.9507,Poland
54.3384,21.9946,Poland
54.3384,22.522,Poland
54.3384,22.5659,Poland
54.3384,22.6099,Poland
54.3384,22.6538,Poland
54.3384,22.6978,Poland
54.3384,22.7417,Poland
54.3384,22.7856,Poland
54.3384,22.8296,Poland
54.3384,22.8735,Poland
54.3384,22.9175,Poland
54.3384,22.9614,Poland
54.3384,23.0054,Poland
54.2944,21.1597,Poland
54.2944,21.2036,Poland
54.2944,21.3794,Poland
54.2944,21.4233,Poland
54.2944,21.4673,Poland
54.2944,21.5112,Poland
54.2944,21.5552,Poland
54.2944,21.5991,Poland
54.2944,21.6431,Poland
54.2944,21.8188,Poland
54.2944,21.8628,Poland
54.2944,21.9067,Poland
54.2944,21.9507,Poland
54.2065,23.269,Poland
54.2065,23.313,Poland
54.1626,23.4009,Poland
54.1187,23.4448,Poland
54.0747,23.4448,Poland
54.0308,23.313,Poland
54.0308,23.3569,Poland
54.0308,23.4009,Poland
54.0308,23.4448,Poland
53.9868,23.269,Poland
53.9868,23.313,Poland
53.9868,23.3569,Poland
53.9868,23.4009,Poland
53.9868,23.4448,Poland
53.9429,23.313,Poland
53.9429,23.3569,Poland
53.9429,23.4009,Poland
53.9429,23.4448,Poland
53.8989,23.3569,Poland
53.8989,23.4009,Poland
53.8989,23.4448,Poland
53.8989,23.4888,Poland
53.855,23.3569,Poland
53.855,23.4009,Poland
53.1519,15.9302,Poland
53.1079,15.9302,Poland
52.8442,23.8843,Poland
52.8003,23.8403,Poland
52.8003,23.8843,Poland
52.7563,23.8403,Poland
52.7563,23.8843,Poland
52.6685,23.7524,Poland
52.6685,23.7964,Poland
52.6685,23.8403,Poland
52.6245,23.6646,Poland
52.6245,23.7085,Poland
52.5806,23.5327,Poland
51.7017,23.3569,Poland
51.7017,23.4009,Poland
51.7017,23.4448,Poland
51.6577,23.313,Poland
51.6577,23.3569,Poland
51.6577,23.4009,Poland
51.6138,23.269,Poland
51.6138,23.313,Poland
51.394,23.6206,Poland
51.394,23.6646,Poland
50.9985,23.9282,Poland
49.3286,21.9946,Poland
49.3286,22.0386,Poland
49.3286,22.0825,Poland
49.3286,22.1265,Poland
49.3286,22.1704,Poland
49.3286,22.2144,Poland
49.3286,22.2583,Poland
49.3286,22.3022,Poland
49.3286,22.522,Poland
49.3286,22.5659,Poland
49.2847,21.9946,Poland
49.2847,22.0386,Poland
49.2847,22.0825,Poland
49.2847,22.1265,Poland
49.2847,22.1704,Poland
49.2847,22.2144,Poland
49.2847,22.2583,Poland
49.2847,22.3022,Poland
49.2847,22.3462,Poland
49.2847,22.3901,Poland
49.2847,22.4341,Poland
49.2847,22.478,Poland
49.2847,22.522,Poland
49.2847,22.5659,Poland
49.2847,22.6099,Poland
49.2847,22.6538,Poland
49.2407,22.0386,Poland
49.2407,22.0825,Poland
49.2407,22.1265,Poland
49.2407,22.1704,Poland
49.2407,22.2144,Poland
49.2407,22.2583,Poland
49.2407,22.3022,Poland
49.2407,22.3462,Poland
49.2407,22.3901,Poland
49.2407,22.4341,Poland
49.2407,22.478,Poland
49.2407,22.522,Poland
49.2407,22.5659,Poland
49.2407,22.6099,Poland
49.2407,22.6538,Poland
49.2407,22.6978,Poland
49.1968,22.0825,Poland
49.1968,22.1265,Poland
49.1968,22.1704,Poland
49.1968,22.2144,Poland
49.1968,22.2583,Poland
49.1968,22.3022,Poland
49.1968,22.3462,Poland
49.1968,22.3901,Poland
49.1968,22.4341,Poland
49.1968,22.478,Poland
49.1968,22.522,Poland
49.1968,22.5659,Poland
49.1968,22.6099,Poland
49.1968,22.6538,Poland
49.1968,22.6978,Poland
49.1528,22.2144,Poland
49.1528,22.2583,Poland
49.1528,22.3022,Poland
49.1528,22.3462,Poland
49.1528,22.3901,Poland
49.1528,22.4341,Poland
49.1528,22.478,Poland
49.1528,22.522,Poland
49.1528,22.5659,Poland
49.1528,22.6099,Poland
49.1528,22.6538,Poland
49.1528,22.6978,Poland
49.1089,22.3901,Poland
49.1089,22.4341,Poland
49.1089,22.478,Poland
49.1089,22.522,Poland
49.1089,22.5659,Poland
49.1089,22.6099,Poland
49.1089,22.6538,Poland
49.1089,22.6978,Poland
49.1089,22.7417,Poland
49.1089,22.7856,Poland
49.0649,22.6538,Poland
49.0649,22.6978,Poland
49.0649,22.7417,Poland
49.0649,22.7856,Poland
49.0649,22.8296,Poland
