latitude,longitude,country
48.186,26.9165,Romania
48.1421,26.9165,Romania
48.1421,26.9604,Romania
48.0981,26.8286,Romania
48.0981,26.8726,Romania
48.0981,26.9165,Romania
48.0981,26.9604,Romania
48.0542,26.7847,Romania
48.0542,26.8286,Romania
48.0542,26.8726,Romania
48.0542,26.9165,Romania
48.0542,27.0044,Romania
48.0103,27.0923,Romania
47.9663,27.0923,Romania
47.9224,24.3237,Romania
47.9224,24.3677,Romania
47.9224,24.4116,Romania
47.9224,24.4556,Romania
47.9224,24.4995,Romania
47.9224,24.5435,Romania
47.9224,24.5874,Romania
47.9224,27.0923,Romania
47.9224,27.1362,Romania
47.8784,24.1479,Romania
47.8784,24.1919,Romania
47.8784,24.2358,Romania
47.8784,24.2798,Romania
47.8784,24.3237,Romania
47.8784,24.3677,Romania
47.8784,24.4116,Romania
47.8784,24.4556,Romania
47.8784,24.4995,Romania
47.8784,24.5435,Romania
47.8784,24.5874,Romania
47.8784,24.6313,Romania
47.8784,25.3784,Romania
47.8784,25.4224,Romania
47.8784,25.4663,Romania
47.8784,27.1802,Romania
47.8345,24.2798,Romania
47.8345,24.3237,Romania
47.8345,24.4995,Romania
47.8345,24.5435,Romania
47.8345,24.5874,Romania
47.8345,24.6313,Romania
47.8345,24.6753,Romania
47.8345,25.2466,Romania
47.8345,25.2905,Romania
47.8345,25.3345,Romania
47.8345,25.4224,Romania
47.8345,25.5542,Romania
47.8345,27.0923,Romania
47.8345,27.1362,Romania
47.7905,24.1919,Romania
47.7905,24.3237,Romania
47.7905,24.3677,Romania
47.7905,24.4116,Romania
47.7905,24.4556,Romania
47.7905,24.4995,Romania
47.7905,24.5435,Romania
47.7905,24.5874,Romania
47.7905,24.6313,Romania
47.7905,24.6753,Romania
47.7905,24.7192,Romania
47.7905,24.7632,Romania
47.7905,25.1587,Romania
47.7905,25.2026,Romania
47.7905,25.2466,Romania
47.7905,25.2905,Romania
47.7905,25.3345,Romania
47.7905,25.3784,Romania
47.7905,25.4224,Romania
47.7905,25.4663,Romania
47.7905,25.5103,Romania
47.7905,25.5542,Romania
47.7466,24.0601,Romania
47.7466,24.1479,Romania
47.7466,24.5435,Romania
47.7466,24.6313,Romania
47.7466,24.6753,Romania
47.7466,24.7192,Romania
47.7466,24.7632,Romania
47.7466,24.8071,Romania
47.7466,25.1147,Romania
47.7466,25.1587,Romania
47.7466,25.2026,Romania
47.7466,25.2466,Romania
47.7466,25.3345,Romania
47.7466,25.3784,Romania
47.7466,25.4224,Romania
47.7466,25.5103,Romania
47.7466,25.5542,Romania
47.7466,25.5981,Romania
47.7466,27.1802,Romania
47.7026,24.0161,Romania
47.7026,24.0601,Romania
47.7026,24.7632,Romania
47.7026,24.8071,Romania
47.7026,24.8511,Romania
47.7026,24.939,Romania
47.7026,24.9829,Romania
47.7026,25.0269,Romania
47.7026,25.0708,Romania
47.7026,25.1147,Romania
47.7026,25.1587,Romania
47.7026,25.2026,Romania
47.7026,25.2466,Romania
47.7026,25.3784,Romania
47.7026,25.4224,Romania
47.7026,25.4663,Romania
47.7026,27.2241,Romania
47.7026,27.2681,Romania
47.6587,23.9722,Romania
47.6587,24.0161,Romania
47.6587,24.0601,Romania
47.6587,24.104,Romania
47.6587,24.8071,Romania
47.6587,24.8511,Romania
47.6587,24.895,Romania
47.6587,24.939,Romania
47.6587,24.9829,Romania
47.6587,25.0269,Romania
47.6587,25.0708,Romania
47.6587,25.1147,Romania
47.6587,25.1587,Romania
47.6587,25.2026,Romania
47.6587,25.2466,Romania
47.6587,25.2905,Romania
47.6587,25.3345,Romania
47.6587,25.3784,Romania
47.6587,25.4224,Romania
47.6587,25.4663,Romania
47.6587,27.312,Romania
47.6147,24.0601,Romania
47.6147,24.104,Romania
47.6147,24.1479,Romania
47.6147,24.1919,Romania
47.6147,24.2358,Romania
47.6147,24.2798,Romania
47.6147,24.3237,Romania
47.6147,24.3677,Romania
47.6147,24.4116,Romania
47.6147,24.8071,Romania
47.6147,24.8511,Romania
47.6147,24.895,Romania
47.6147,24.939,Romania
47.6147,25.0708,Romania
47.6147,25.1147,Romania
47.6147,25.1587,Romania
47.6147,25.2026,Romania
47.6147,25.2466,Romania
47.6147,25.2905,Romania
47.6147,25.3345,Romania
47.6147,25.3784,Romania
47.6147,25.4224,Romania
47.6147,27.312,Romania
47.6147,27.356,Romania
47.5708,23.9722,Romania
47.5708,24.0161,Romania
47.5708,24.0601,Romania
47.5708,24.104,Romania
47.5708,24.1479,Romania
47.5708,24.1919,Romania
47.5708,24.2358,Romania
47.5708,24.2798,Romania
47.5708,24.3237,Romania
47.5708,24.3677,Romania
47.5708,24.4116,Romania
47.5708,24.4556,Romania
47.5708,24.4995,Romania
47.5708,24.5435,Romania
47.5708,24.5874,Romania
47.5708,24.6313,Romania
47.5708,24.6753,Romania
47.5708,24.7192,Romania
47.5708,24.7632,Romania
47.5708,24.8071,Romania
47.5708,24.8511,Romania
47.5708,24.895,Romania
47.5708,24.939,Romania
47.5708,24.9829,Romania
47.5708,25.0269,Romania
47.5708,25.0708,Romania
47.5708,25.1147,Romania
47.5708,25.1587,Romania
47.5708,25.2026,Romania
47.5708,25.2466,Romania
47.5708,25.2905,Romania
47.5269,23.9722,Romania
47.5269,24.0601,Romania
47.5269,24.104,Romania
47.5269,24.1479,Romania
47.5269,24.1919,Romania
47.5269,24.2358,Romania
47.5269,24.2798,Romania
47.5269,24.3237,Romania
47.5269,24.3677,Romania
47.5269,24.4116,Romania
47.5269,24.4556,Romania
47.5269,24.4995,Romania
47.5269,24.5435,Romania
47.5269,24.5874,Romania
47.5269,24.6313,Romania
47.5269,24.6753,Romania
47.5269,24.7192,Romania
47.5269,24.7632,Romania
47.5269,24.8071,Romania
47.5269,24.895,Romania
47.5269,24.939,Romania
47.5269,24.9829,Romania
47.5269,25.0269,Romania
47.5269,25.0708,Romania
47.5269,25.1147,Romania
47.5269,25.1587,Romania
47.5269,25.2026,Romania
47.5269,25.2466,Romania
47.5269,25.2905,Romania
47.4829,24.104,Romania
47.4829,24.1479,Romania
47.4829,24.1919,Romania
47.4829,24.2358,Romania
47.4829,24.2798,Romania
47.4829,24.3237,Romania
47.4829,24.3677,Romania
47.4829,24.4116,Romania
47.4829,24.4556,Romania
47.4829,24.5435,Romania
47.4829,24.5874,Romania
47.4829,24.6313,Romania
47.4829,24.6753,Romania
47.4829,24.7192,Romania
47.4829,24.7632,Romania
47.4829,24.8071,Romania
47.4829,24.8511,Romania
47.4829,24.895,Romania
47.4829,24.939,Romania
47.4829,24.9829,Romania
47.4829,25.0269,Romania
47.4829,25.0708,Romania
47.4829,25.1147,Romania
47.4829,25.1587,Romania
47.4829,25.2026,Romania
47.4829,25.2466,Romania
47.439,24.104,Romania
47.439,24.1479,Romania
47.439,24.1919,Romania
47.439,24.2358,Romania
47.439,24.2798,Romania
47.439,24.3237,Romania
47.439,24.3677,Romania
47.439,24.4556,Romania
47.439,24.4995,Romania
47.439,24.5435,Romania
47.439,24.5874,Romania
47.439,24.6313,Romania
47.439,24.6753,Romania
47.439,24.7192,Romania
47.439,24.939,Romania
47.439,24.9829,Romania
47.439,25.0269,Romania
47.439,25.1147,Romania
47.439,25.1587,Romania
47.439,25.2026,Romania
47.439,25.2466,Romania
47.395,23.8843,Romania
47.395,23.9282,Romania
47.395,23.9722,Romania
47.395,24.0161,Romania
47.395,24.0601,Romania
47.395,24.104,Romania
47.395,24.1479,Romania
47.395,24.1919,Romania
47.395,24.2358,Romania
47.395,24.2798,Romania
47.395,24.3237,Romania
47.395,24.3677,Romania
47.395,24.4116,Romania
47.395,24.4556,Romania
47.395,24.4995,Romania
47.395,24.5435,Romania
47.395,24.5874,Romania
47.395,24.939,Romania
47.395,24.9829,Romania
47.395,25.0269,Romania
47.395,25.0708,Romania
47.395,25.5103,Romania
47.395,25.5981,Romania
47.395,25.6421,Romania
47.395,25.686,Romania
47.3511,23.7085,Romania
47.3511,23.7524,Romania
47.3511,23.7964,Romania
47.3511,23.8403,Romania
47.3511,23.8843,Romania
47.3511,23.9282,Romania
47.3511,23.9722,Romania
47.3511,24.0161,Romania
47.3511,24.0601,Romania
47.3511,24.104,Romania
47.3511,24.1479,Romania
47.3511,24.1919,Romania
47.3511,24.939,Romania
47.3511,25.0269,Romania
47.3511,25.0708,Romania
47.3511,25.1147,Romania
47.3511,25.5103,Romania
47.3511,25.5542,Romania
47.3511,25.6421,Romania
47.3511,25.686,Romania
47.3511,25.73,Romania
47.3511,25.8618,Romania
47.3511,25.9058,Romania
47.3071,23.4888,Romania
47.3071,23.5327,Romania
47.3071,23.9722,Romania
47.3071,24.0161,Romania
47.3071,24.8071,Romania
47.3071,24.8511,Romania
47.3071,24.895,Romania
47.3071,24.939,Romania
47.3071,24.9829,Romania
47.3071,25.0269,Romania
47.3071,25.0708,Romania
47.3071,25.5103,Romania
47.3071,25.6421,Romania
47.3071,25.686,Romania
47.3071,25.73,Romania
47.3071,25.7739,Romania
47.3071,25.8179,Romania
47.3071,25.8618,Romania
47.3071,25.9058,Romania
47.3071,25.9937,Romania
47.2632,23.4448,Romania
47.2632,23.4888,Romania
47.2632,23.5327,Romania
47.2632,23.5767,Romania
47.2632,23.6206,Romania
47.2632,24.8071,Romania
47.2632,24.8511,Romania
47.2632,24.895,Romania
47.2632,24.939,Romania
47.2632,24.9829,Romania
47.2632,25.0269,Romania
47.2632,25.0708,Romania
