latitude,longitude,country
49.3286,21.731,Slovakia
49.3286,21.7749,Slovakia
49.3286,21.8188,Slovakia
49.2847,21.731,Slovakia
49.2847,21.7749,Slovakia
49.2407,21.7749,Slovakia
49.2407,21.8188,Slovakia
49.2407,21.9946,Slovakia
49.1968,21.7749,Slovakia
49.1968,21.8188,Slovakia
49.1968,21.8628,Slovakia
49.1968,21.9067,Slovakia
49.1968,21.9507,Slovakia
49.1968,21.9946,Slovakia
49.1968,22.0386,Slovakia
49.1528,21.731,Slovakia
49.1528,21.7749,Slovakia
49.1528,21.8188,Slovakia
49.1528,21.8628,Slovakia
49.1528,21.9067,Slovakia
49.1528,21.9507,Slovakia
49.1528,21.9946,Slovakia
49.1528,22.0386,Slovakia
49.1528,22.0825,Slovakia
49.1528,22.1265,Slovakia
49.1528,22.1704,Slovakia
49.1089,21.687,Slovakia
49.1089,21.731,Slovakia
49.1089,21.7749,Slovakia
49.1089,21.8188,Slovakia
49.1089,21.8628,Slovakia
49.1089,21.9067,Slovakia
49.1089,21.9507,Slovakia
49.1089,21.9946,Slovakia
49.1089,22.0825,Slovakia
49.1089,22.1265,Slovakia
49.1089,22.1704,Slovakia
49.1089,22.2144,Slovakia
49.1089,22.2583,Slovakia
49.1089,22.3022,Slovakia
49.1089,22.3462,Slovakia
49.0649,21.8628,Slovakia
49.0649,21.9067,Slovakia
49.0649,21.9507,Slovakia
49.0649,21.9946,Slovakia
49.0649,22.0386,Slovakia
49.0649,22.0825,Slovakia
49.0649,22.1265,Slovakia
49.0649,22.1704,Slovakia
49.0649,22.2144,Slovakia
49.0649,22.2583,Slovakia
49.0649,22.3022,Slovakia
49.0649,22.3462,Slovakia
49.0649,22.3901,Slovakia
49.0649,22.4341,Slovakia
49.0649,22.478,Slovakia
49.0649,22.522,Slovakia
49.021,22.2583,Slovakia
49.021,22.3022,Slovakia
49.021,22.3462,Slovakia
49.021,22.3901,Slovakia
49.021,22.4341,Slovakia
49.021,22.478,Slovakia
48.9771,22.3022,Slovakia
48.9771,22.3462,Slovakia
48.9771,22.3901,Slovakia
48.9771,22.4341,Slovakia
48.9331,22.2583,Slovakia
48.9331,22.3022,Slovakia
48.9331,22.3462,Slovakia
48.9331,22.3901,Slovakia
48.8892,22.2144,Slovakia
48.8892,22.2583,Slovakia
48.8892,22.3022,Slovakia
48.8892,22.3462,Slovakia
48.8452,22.2583,Slovakia
48.8452,22.3022,Slovakia
48.8452,22.3462,Slovakia
48.6694,19.7974,Slovakia
48.6255,19.7974,Slovakia
48.5815,20.061,Slovakia
48.5815,20.105,Slovakia
48.5815,20.1489,Slovakia
48.5376,20.061,Slovakia
48.5376,20.105,Slovakia
48.5376,20.1489,Slovakia
48.5376,20.1929,Slovakia
48.5376,20.2368,Slovakia
