latitude,longitude,country
43.2202,-7.0532,Spain
43.2202,-7.0093,Spain
43.1763,-7.0093,Spain
43.1763,-6.9653,Spain
43.1763,-6.9214,Spain
43.1763,-6.8335,Spain
43.1763,-6.7896,Spain
43.1763,-6.7456,Spain
43.1323,-7.0093,Spain
43.1323,-6.9653,Spain
43.1323,-6.9214,Spain
43.1323,-6.8774,Spain
43.1323,-6.8335,Spain
43.1323,-6.7896,Spain
43.1323,-6.7456,Spain
43.1323,-6.7017,Spain
43.0884,-7.0093,Spain
43.0884,-6.9653,Spain
43.0884,-6.9214,Spain
43.0884,-6.8774,Spain
43.0884,-6.8335,Spain
43.0884,-6.7896,Spain
43.0884,-6.7456,Spain
43.0884,-6.7017,Spain
43.0444,-7.0972,Spain
43.0444,-7.0532,Spain
43.0444,-7.0093,Spain
43.0444,-6.9653,Spain
43.0444,-6.9214,Spain
43.0444,-6.8335,Spain
43.0444,-6.7456,Spain
43.0444,-6.7017,Spain
43.0005,-7.0972,Spain
43.0005,-7.0532,Spain
43.0005,-7.0093,Spain
43.0005,-6.9653,Spain
43.0005,-6.9214,Spain
43.0005,-6.8774,Spain
43.0005,-6.8335,Spain
43.0005,-6.7896,Spain
43.0005,-6.7456,Spain
42.9565,-7.0532,Spain
42.9565,-6.9653,Spain
42.9565,-6.9214,Spain
42.9565,-6.8774,Spain
42.9565,-6.8335,Spain
42.9565,-6.7896,Spain
42.9565,-6.7456,Spain
42.9565,-6.7017,Spain
42.9126,-7.0532,Spain
42.9126,-7.0093,Spain
42.9126,-6.9653,Spain
42.9126,-6.9214,Spain
42.9126,-6.8774,Spain
42.9126,-6.8335,Spain
42.9126,-6.7896,Spain
42.9126,-6.7456,Spain
42.8687,-7.0532,Spain
42.8687,-7.0093,Spain
42.8687,-6.9653,Spain
42.8687,-6.9214,Spain
42.8687,-6.8774,Spain
42.8687,-6.8335,Spain
42.8247,-7.0093,Spain
42.8247,-6.9653,Spain
42.8247,-6.9214,Spain
42.7368,-4.6802,Spain
42.7368,-4.6362,Spain
42.7368,-4.5923,Spain
42.7368,-4.5483,Spain
42.6929,-4.7241,Spain
42.6929,-4.6802,Spain
42.6929,-4.6362,Spain
42.6929,-4.5923,Spain
42.6929,0.0659,Spain
42.6929,0.1099,Spain
42.6489,-4.7681,Spain
42.6489,-4.7241,Spain
42.6489,-4.6802,Spain
42.6489,-4.5923,Spain
42.6489,-4.5483,Spain
42.6489,-0.022,Spain
42.6489,0.022,Spain
42.6489,0.0659,Spain
42.6489,0.1099,Spain
42.605,-4.8999,Spain
42.605,-4.7241,Spain
42.605,-4.6802,Spain
42.605,-4.6362,Spain
42.605,-4.5923,Spain
42.605,-4.5483,Spain
42.605,0.022,Spain
42.605,0.0659,Spain
42.605,0.1099,Spain
42.605,0.1538,Spain
42.605,0.1978,Spain
42.561,-4.6362,Spain
42.561,-4.5923,Spain
42.561,-4.5483,Spain
42.561,-4.5044,Spain
42.561,-0.022,Spain
42.561,0.022,Spain
42.561,0.0659,Spain
42.561,0.1099,Spain
42.561,0.2417,Spain
42.561,0.2856,Spain
42.561,0.3296,Spain
42.5171,-4.5923,Spain
42.5171,-4.5483,Spain
42.5171,0.2417,Spain
42.5171,0.2856,Spain
42.5171,0.3296,Spain
42.5171,0.3735,Spain
42.4731,0.2417,Spain
42.4731,0.2856,Spain
42.4731,0.3296,Spain
42.4731,0.3735,Spain
42.4292,-0.0659,Spain
42.4292,0.2856,Spain
42.4292,0.3296,Spain
42.4292,0.5054,Spain
42.4292,0.5493,Spain
42.3853,-0.1099,Spain
42.3853,-0.0659,Spain
42.3853,-0.022,Spain
42.3853,0.3296,Spain
42.3853,0.4614,Spain
42.3853,0.5054,Spain
42.3853,0.5493,Spain
42.3853,0.5933,Spain
42.3853,0.6372,Spain
42.3413,-0.0659,Spain
42.3413,-0.022,Spain
42.3413,0.022,Spain
42.3413,0.0659,Spain
42.3413,0.2856,Spain
42.3413,0.3296,Spain
42.3413,0.3735,Spain
42.3413,0.4614,Spain
42.3413,0.5054,Spain
42.3413,0.5493,Spain
42.3413,0.5933,Spain
42.3413,0.6372,Spain
42.2974,-6.5259,Spain
42.2974,-6.4819,Spain
42.2974,-6.438,Spain
42.2974,-6.394,Spain
42.2974,0.022,Spain
42.2974,0.0659,Spain
42.2974,0.2856,Spain
42.2974,0.3296,Spain
42.2974,0.3735,Spain
42.2974,0.4175,Spain
42.2974,0.4614,Spain
42.2974,0.5054,Spain
42.2974,0.5493,Spain
42.2974,0.5933,Spain
42.2974,0.6372,Spain
42.2974,0.6812,Spain
42.2534,-6.7896,Spain
42.2534,-6.7456,Spain
42.2534,-6.7017,Spain
42.2534,-6.6577,Spain
42.2534,-6.6138,Spain
42.2534,-6.5698,Spain
42.2534,-6.5259,Spain
42.2534,-6.4819,Spain
42.2534,-6.438,Spain
42.2534,-6.394,Spain
42.2534,-6.3501,Spain
42.2534,-6.3062,Spain
42.2534,0.4614,Spain
42.2534,0.5054,Spain
42.2534,0.5493,Spain
42.2534,0.5933,Spain
42.2534,0.6372,Spain
42.2095,-6.8774,Spain
42.2095,-6.8335,Spain
42.2095,-6.7896,Spain
42.2095,-6.7456,Spain
42.2095,-6.7017,Spain
42.2095,-6.6577,Spain
42.2095,-6.6138,Spain
42.2095,-6.5698,Spain
42.2095,-6.5259,Spain
42.2095,-6.4819,Spain
42.2095,-6.438,Spain
42.2095,-6.394,Spain
42.2095,-6.3501,Spain
42.2095,-6.3062,Spain
42.2095,-6.2622,Spain
42.2095,0.5054,Spain
42.2095,0.5493,Spain
42.2095,0.5933,Spain
42.2095,0.6372,Spain
42.1655,-6.8335,Spain
42.1655,-6.7896,Spain
42.1655,-6.6138,Spain
42.1655,-6.5698,Spain
42.1655,-6.5259,Spain
42.1655,-6.4819,Spain
42.1655,-6.438,Spain
42.1655,-6.394,Spain
42.1655,-6.3501,Spain
42.1655,-6.3062,Spain
42.1655,-6.2622,Spain
42.1216,-6.5259,Spain
42.1216,-6.4819,Spain
42.1216,-6.438,Spain
42.1216,-6.394,Spain
42.1216,-6.3501,Spain
42.1216,-6.3062,Spain
42.1216,-6.2622,Spain
42.1216,-6.2183,Spain
42.1216,-6.1743,Spain
42.0776,-6.4819,Spain
42.0776,-6.438,Spain
42.0776,-6.394,Spain
42.0776,-6.3501,Spain
42.0776,-6.3062,Spain
42.0776,-6.2622,Spain
42.0776,-6.2183,Spain
42.0776,-6.1743,Spain
42.0776,-6.1304,Spain
42.0337,-6.4819,Spain
42.0337,-6.438,Spain
42.0337,-6.394,Spain
42.0337,-6.3062,Spain
42.0337,-6.2622,Spain
42.0337,-6.2183,Spain
42.0337,-6.1743,Spain
42.0337,-6.1304,Spain
41.9897,-6.4819,Spain
41.9897,-6.438,Spain
41.9897,-6.394,Spain
41.9897,-6.3501,Spain
41.9897,-6.3062,Spain
41.9897,-6.2622,Spain
41.9897,-6.2183,Spain
41.9897,-6.1743,Spain
41.9458,-6.4819,Spain
41.9458,-6.438,Spain
41.9458,-6.394,Spain
41.9458,-6.3501,Spain
41.9458,-6.3062,Spain
