latitude,longitude,country,day,dayNumber,popup
62.9517,13.2495,Sweden,Tuesday,1,"<p style=""font-size: 2vh;""><a target=""_blank"" style=""text-decoration:none;"" href=""https://clearoutside.com/forecast/62.9517/13.2495"">Forecast</a> - <a target=""_blank"" style=""text-decoration:none;"" href=""https://www.google.com/maps/place/62.9517,13.2495"">Google Maps</a></p>
<table>
<tbody>
<tr>
<td style=""font-size: 1.75vh;"">ClearDarkSky</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;Temp</td>
<td style=""font-size: 1.75vh; text-align:right;"">Wind</td>
</tr>

<tr>
<td style=""font-size: 1.75vh;"">Tue - 18:00</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;&nbsp;&nbsp;2C</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;3.1mph</td>
</tr>
</tbody>
</table>

<p style=""font-size: 1.5vh;"">Last updated: 12:32 CET</p>"
62.9517,13.5132,Sweden,Tuesday,1,"<p style=""font-size: 2vh;""><a target=""_blank"" style=""text-decoration:none;"" href=""https://clearoutside.com/forecast/62.9517/13.5132"">Forecast</a> - <a target=""_blank"" style=""text-decoration:none;"" href=""https://www.google.com/maps/place/62.9517,13.5132"">Google Maps</a></p>
<table>
<tbody>
<tr>
<td style=""font-size: 1.75vh;"">ClearDarkSky</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;Temp</td>
<td style=""font-size: 1.75vh; text-align:right;"">Wind</td>
</tr>

<tr>
<td style=""font-size: 1.75vh;"">Tue - 18:00</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;&nbsp;&nbsp;1C</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;1.1mph</td>
</tr>
</tbody>
</table>

<p style=""font-size: 1.5vh;"">Last updated: 12:32 CET</p>"
62.9517,13.5571,Sweden,Tuesday,1,"<p style=""font-size: 2vh;""><a target=""_blank"" style=""text-decoration:none;"" href=""https://clearoutside.com/forecast/62.9517/13.5571"">Forecast</a> - <a target=""_blank"" style=""text-decoration:none;"" href=""https://www.google.com/maps/place/62.9517,13.5571"">Google Maps</a></p>
<table>
<tbody>
<tr>
<td style=""font-size: 1.75vh;"">ClearDarkSky</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;Temp</td>
<td style=""font-size: 1.75vh; text-align:right;"">Wind</td>
</tr>

<tr>
<td style=""font-size: 1.75vh;"">Tue - 18:00</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;&nbsp;&nbsp;1C</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;0.9mph</td>
</tr>
</tbody>
</table>

<p style=""font-size: 1.5vh;"">Last updated: 12:32 CET</p>"
62.9517,13.6011,Sweden,Tuesday,1,"<p style=""font-size: 2vh;""><a target=""_blank"" style=""text-decoration:none;"" href=""https://clearoutside.com/forecast/62.9517/13.6011"">Forecast</a> - <a target=""_blank"" style=""text-decoration:none;"" href=""https://www.google.com/maps/place/62.9517,13.6011"">Google Maps</a></p>
<table>
<tbody>
<tr>
<td style=""font-size: 1.75vh;"">ClearDarkSky</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;Temp</td>
<td style=""font-size: 1.75vh; text-align:right;"">Wind</td>
</tr>

<tr>
<td style=""font-size: 1.75vh;"">Tue - 18:00</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;&nbsp;&nbsp;1C</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;1.1mph</td>
</tr>
</tbody>
</table>

<p style=""font-size: 1.5vh;"">Last updated: 12:32 CET</p>"
62.9077,13.0737,Sweden,Tuesday,1,"<p style=""font-size: 2vh;""><a target=""_blank"" style=""text-decoration:none;"" href=""https://clearoutside.com/forecast/62.9077/13.0737"">Forecast</a> - <a target=""_blank"" style=""text-decoration:none;"" href=""https://www.google.com/maps/place/62.9077,13.0737"">Google Maps</a></p>
<table>
<tbody>
<tr>
<td style=""font-size: 1.75vh;"">ClearDarkSky</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;Temp</td>
<td style=""font-size: 1.75vh; text-align:right;"">Wind</td>
</tr>

<tr>
<td style=""font-size: 1.75vh;"">Tue - 18:00</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;&nbsp;&nbsp;2C</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;2.7mph</td>
</tr>
</tbody>
</table>

<p style=""font-size: 1.5vh;"">Last updated: 12:32 CET</p>"
62.9077,13.2056,Sweden,Tuesday,1,"<p style=""font-size: 2vh;""><a target=""_blank"" style=""text-decoration:none;"" href=""https://clearoutside.com/forecast/62.9077/13.2056"">Forecast</a> - <a target=""_blank"" style=""text-decoration:none;"" href=""https://www.google.com/maps/place/62.9077,13.2056"">Google Maps</a></p>
<table>
<tbody>
<tr>
<td style=""font-size: 1.75vh;"">ClearDarkSky</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;Temp</td>
<td style=""font-size: 1.75vh; text-align:right;"">Wind</td>
</tr>

<tr>
<td style=""font-size: 1.75vh;"">Tue - 18:00</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;&nbsp;&nbsp;-1C</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;2.7mph</td>
</tr>
</tbody>
</table>

<p style=""font-size: 1.5vh;"">Last updated: 12:32 CET</p>"
62.9077,13.2495,Sweden,Tuesday,1,"<p style=""font-size: 2vh;""><a target=""_blank"" style=""text-decoration:none;"" href=""https://clearoutside.com/forecast/62.9077/13.2495"">Forecast</a> - <a target=""_blank"" style=""text-decoration:none;"" href=""https://www.google.com/maps/place/62.9077,13.2495"">Google Maps</a></p>
<table>
<tbody>
<tr>
<td style=""font-size: 1.75vh;"">ClearDarkSky</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;Temp</td>
<td style=""font-size: 1.75vh; text-align:right;"">Wind</td>
</tr>

<tr>
<td style=""font-size: 1.75vh;"">Tue - 18:00</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;&nbsp;&nbsp;0C</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;3.1mph</td>
</tr>
</tbody>
</table>

<p style=""font-size: 1.5vh;"">Last updated: 12:32 CET</p>"
62.8638,12.7222,Sweden,Tuesday,1,"<p style=""font-size: 2vh;""><a target=""_blank"" style=""text-decoration:none;"" href=""https://clearoutside.com/forecast/62.8638/12.7222"">Forecast</a> - <a target=""_blank"" style=""text-decoration:none;"" href=""https://www.google.com/maps/place/62.8638,12.7222"">Google Maps</a></p>
<table>
<tbody>
<tr>
<td style=""font-size: 1.75vh;"">ClearDarkSky</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;Temp</td>
<td style=""font-size: 1.75vh; text-align:right;"">Wind</td>
</tr>

<tr>
<td style=""font-size: 1.75vh;"">Tue - 18:00</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;&nbsp;&nbsp;1C</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;6.9mph</td>
</tr>
</tbody>
</table>

<p style=""font-size: 1.5vh;"">Last updated: 12:32 CET</p>"
62.8638,12.7661,Sweden,Tuesday,1,"<p style=""font-size: 2vh;""><a target=""_blank"" style=""text-decoration:none;"" href=""https://clearoutside.com/forecast/62.8638/12.7661"">Forecast</a> - <a target=""_blank"" style=""text-decoration:none;"" href=""https://www.google.com/maps/place/62.8638,12.7661"">Google Maps</a></p>
<table>
<tbody>
<tr>
<td style=""font-size: 1.75vh;"">ClearDarkSky</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;Temp</td>
<td style=""font-size: 1.75vh; text-align:right;"">Wind</td>
</tr>

<tr>
<td style=""font-size: 1.75vh;"">Tue - 18:00</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;&nbsp;&nbsp;0C</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;3.4mph</td>
</tr>
</tbody>
</table>

<p style=""font-size: 1.5vh;"">Last updated: 12:32 CET</p>"
62.8638,12.8101,Sweden,Tuesday,1,"<p style=""font-size: 2vh;""><a target=""_blank"" style=""text-decoration:none;"" href=""https://clearoutside.com/forecast/62.8638/12.8101"">Forecast</a> - <a target=""_blank"" style=""text-decoration:none;"" href=""https://www.google.com/maps/place/62.8638,12.8101"">Google Maps</a></p>
<table>
<tbody>
<tr>
<td style=""font-size: 1.75vh;"">ClearDarkSky</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;Temp</td>
<td style=""font-size: 1.75vh; text-align:right;"">Wind</td>
</tr>

<tr>
<td style=""font-size: 1.75vh;"">Tue - 18:00</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;&nbsp;&nbsp;1C</td>
<td style=""font-size: 1.75vh; text-align:right;"">&nbsp;&nbsp;2.2mph</td>
</tr>
</tbody>
</table>

<p style=""font-size: 1.5vh;"">Last updated: 12:32 CET</p>"
