latitude,longitude,country
42.0776,27.2241,Turkey
42.0776,27.2681,Turkey
42.0337,27.0044,Turkey
42.0337,27.0483,Turkey
42.0337,27.0923,Turkey
42.0337,27.1362,Turkey
42.0337,27.2241,Turkey
42.0337,27.312,Turkey
41.9897,26.9165,Turkey
41.9897,26.9604,Turkey
41.9897,27.0483,Turkey
41.9897,27.0923,Turkey
41.9897,27.1802,Turkey
41.9897,27.2241,Turkey
41.9897,27.2681,Turkey
41.9897,27.312,Turkey
41.9897,27.3999,Turkey
41.9897,33.2446,Turkey
41.9897,33.2886,Turkey
41.9897,33.3325,Turkey
41.9897,33.3765,Turkey
41.9897,33.5522,Turkey
41.9458,27.3999,Turkey
41.9458,27.4438,Turkey
41.9458,27.6636,Turkey
41.9458,27.7075,Turkey
41.9458,27.7515,Turkey
41.9458,27.7954,Turkey
41.9458,27.8394,Turkey
41.9458,27.8833,Turkey
41.9458,27.9272,Turkey
41.9458,27.9712,Turkey
41.9458,33.3325,Turkey
41.9458,33.3765,Turkey
41.9458,33.4204,Turkey
41.9458,33.4644,Turkey
41.9458,33.5522,Turkey
41.9458,33.5962,Turkey
41.9019,27.4878,Turkey
41.9019,27.5317,Turkey
41.9019,27.5757,Turkey
41.9019,27.6196,Turkey
41.9019,27.6636,Turkey
41.9019,27.7075,Turkey
41.9019,27.7515,Turkey
41.9019,27.7954,Turkey
41.9019,27.8394,Turkey
41.9019,27.8833,Turkey
41.9019,27.9272,Turkey
41.9019,33.1567,Turkey
41.9019,33.2446,Turkey
41.9019,33.2886,Turkey
41.9019,33.3325,Turkey
41.9019,33.3765,Turkey
41.9019,33.4204,Turkey
41.9019,33.4644,Turkey
41.9019,33.5083,Turkey
41.9019,33.5522,Turkey
41.8579,27.5757,Turkey
41.8579,27.6196,Turkey
41.8579,27.8833,Turkey
41.8579,33.1128,Turkey
41.8579,33.1567,Turkey
41.8579,33.2886,Turkey
41.8579,33.3325,Turkey
41.8579,33.3765,Turkey
41.8579,33.4644,Turkey
41.8579,33.5083,Turkey
41.8579,33.5522,Turkey
41.8579,33.5962,Turkey
41.814,27.9272,Turkey
41.814,27.9712,Turkey
41.814,33.1128,Turkey
41.814,33.1567,Turkey
41.814,33.2886,Turkey
41.814,33.3325,Turkey
41.814,33.3765,Turkey
41.814,33.4204,Turkey
41.814,33.4644,Turkey
41.814,33.5083,Turkey
41.814,33.5522,Turkey
